Temperature (K)	Pressure (bar)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Surf. Tension (N/m)	Phase
180.30	0.80001	0.54914	1.8210	-10.541	-10.395	-0.056768	1.4337	2.4226	1348.2	-0.044563	175.87	0.17101	0.016871	liquid
180.30	0.80001	0.0016513	605.57	436.08	484.53	2.6882	1.0989	1.4107	245.67	4.0129	5.6492	0.0089822	undefined	vapor
181.72	0.86668	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
181.72	0.86668	0.54738	1.8269	-7.1005	-6.9422	-0.037759	1.4340	2.4281	1337.3	-0.044123	172.77	0.16965	0.016645	liquid
181.72	0.86668	0.0017781	562.41	437.42	486.16	2.6757	1.1037	1.4178	246.27	3.9545	5.6928	0.0091085	undefined	vapor
183.06	0.93334	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
183.06	0.93334	0.54571	1.8325	-3.8546	-3.6836	-0.019960	1.4343	2.4334	1327.1	-0.043697	169.93	0.16836	0.016432	liquid
183.06	0.93334	0.0019041	525.17	438.67	487.69	2.6643	1.1083	1.4248	246.83	3.9012	5.7339	0.0092287	undefined	vapor
184.33	1.0000	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
184.33	1.0000	0.54413	1.8378	-0.77871	-0.59493	-0.0032123	1.4347	2.4385	1317.4	-0.043285	167.29	0.16716	0.016231	liquid
184.33	1.0000	0.0020296	492.72	439.86	489.13	2.6536	1.1128	1.4317	247.33	3.8520	5.7728	0.0093435	undefined	vapor
185.53	1.0667	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
185.53	1.0667	0.54263	1.8429	2.1471	2.3436	0.012612	1.4351	2.4434	1308.2	-0.042883	164.85	0.16601	0.016040	liquid
185.53	1.0667	0.0021544	464.16	440.97	490.49	2.6437	1.1172	1.4385	247.80	3.8062	5.8097	0.0094536	undefined	vapor
186.67	1.1333	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
186.67	1.1333	0.54119	1.8478	4.9392	5.1486	0.027618	1.4355	2.4483	1299.4	-0.042492	162.56	0.16492	0.015858	liquid
186.67	1.1333	0.0022787	438.84	442.04	491.77	2.6345	1.1215	1.4451	248.23	3.7632	5.8449	0.0095593	undefined	vapor
187.76	1.2000	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
