Temperature (K)	Pressure (bar)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Surf. Tension (N/m)	Phase
236.51	8.6667	0.47101	2.1231	133.28	135.12	0.63612	1.4989	2.8047	902.33	-0.011927	91.562	0.12024	0.0082380	liquid
236.51	8.6667	0.015635	63.960	483.13	538.56	2.3419	1.3685	1.9231	252.97	2.3186	7.4723	0.015444	undefined	vapor
236.76	8.7333	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
236.76	8.7333	0.47062	2.1249	133.94	135.79	0.63893	1.4995	2.8075	900.33	-0.011674	91.310	0.12004	0.0082030	liquid
236.76	8.7333	0.015754	63.475	483.29	538.73	2.3408	1.3698	1.9266	252.91	2.3142	7.4812	0.015481	undefined	vapor
236.99	8.8000	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
236.99	8.8000	0.47023	2.1266	134.60	136.47	0.64172	1.5000	2.8103	898.34	-0.011421	91.059	0.11983	0.0081681	liquid
236.99	8.8000	0.015874	62.998	483.45	538.89	2.3397	1.3712	1.9301	252.86	2.3097	7.4901	0.015518	undefined	vapor
237.23	8.8667	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
237.23	8.8667	0.46984	2.1284	135.26	137.14	0.64450	1.5006	2.8131	896.35	-0.011167	90.811	0.11963	0.0081334	liquid
237.23	8.8667	0.015993	62.527	483.62	539.06	2.3387	1.3725	1.9336	252.81	2.3054	7.4990	0.015555	undefined	vapor
237.47	8.9333	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
237.47	8.9333	0.46946	2.1301	135.91	137.81	0.64725	1.5011	2.8160	894.38	-0.010914	90.565	0.11944	0.0080990	liquid
237.47	8.9333	0.016113	62.063	483.77	539.22	2.3376	1.3739	1.9371	252.76	2.3011	7.5079	0.015592	undefined	vapor
237.71	9.0000	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
237.71	9.0000	0.46908	2.1318	136.56	138.48	0.65000	1.5016	2.8188	892.42	-0.010660	90.320	0.11924	0.0080648	liquid
237.71	9.0000	0.016232	61.606	483.93	539.38	2.3365	1.3752	1.9407	252.70	2.2968	7.5167	0.015629	undefined	vapor
237.94	9.0667	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
237.94	9.0667	0.46869	2.1336	137.21	139.14	0.65273	1.5022	2.8216	890.46	-0.010406	90.077	0.11904	0.0080307	liquid
237.94	9.0667	0.016352	61.155	484.09	539.54	2.3355	1.3765	1.9442	252.65	2.2926	7.5255	0.015665	undefined	vapor
238.17	9.1333	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
238.17	9.1333	0.46831	2.1353	137.85	139.80	0.65544	1.5027	2.8244	888.52	-0.010151	89.836	0.11885	0.0079969	liquid
238.17	9.1333	0.016472	60.710	484.24	539.69	2.3344	1.3778	1.9477	252.60	2.2884	7.5342	0.015702	undefined	vapor
238.41	9.2000	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
238.41	9.2000	0.46793	2.1371	138.49	140.46	0.65814	1.5033	2.8273	886.58	-0.0098968	89.597	0.11865	0.0079633	liquid
238.41	9.2000	0.016592	60.272	484.40	539.85	2.3334	1.3791	1.9512	252.54	2.2842	7.5430	0.015739	undefined	vapor
238.64	9.2667	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
238.64	9.2667	0.46756	2.1388	139.13	141.11	0.66083	1.5038	2.8301	884.66	-0.0096418	89.360	0.11846	0.0079298	liquid
238.64	9.2667	0.016711	59.839	484.55	540.00	2.3324	1.3804	1.9548	252.49	2.2801	7.5517	0.015775	undefined	vapor
238.87	9.3333	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
238.87	9.3333	0.46718	2.1405	139.77	141.76	0.66350	1.5043	2.8329	882.74	-0.0093866	89.124	0.11827	0.0078966	liquid
238.87	9.3333	0.016831	59.413	484.70	540.15	2.3313	1.3817	1.9583	252.43	2.2761	7.5604	0.015811	undefined	vapor
239.09	9.4000	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
239.09	9.4000	0.46680	2.1422	140.40	142.41	0.66615	1.5049	2.8358	880.83	-0.0091311	88.891	0.11808	0.0078636	liquid
239.09	9.4000	0.016952	58.992	484.85	540.30	2.3303	1.3830	1.9618	252.37	2.2721	7.5690	0.015848	undefined	vapor
239.32	9.4667	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
239.32	9.4667	0.46643	2.1439	141.03	143.06	0.66879	1.5054	2.8386	878.93	-0.0088753	88.659	0.11789	0.0078307	liquid
239.32	9.4667	0.017072	58.576	485.00	540.45	2.3293	1.3843	1.9654	252.32	2.2681	7.5777	0.015884	undefined	vapor
239.55	9.5333	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
239.55	9.5333	0.46606	2.1457	141.66	143.70	0.67142	1.5059	2.8414	877.04	-0.0086191	88.428	0.11770	0.0077981	liquid
239.55	9.5333	0.017192	58.167	485.15	540.60	2.3283	1.3856	1.9689	252.26	2.2641	7.5863	0.015920	undefined	vapor
239.77	9.6000	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
239.77	9.6000	0.46569	2.1474	142.28	144.34	0.67403	1.5065	2.8443	875.16	-0.0083627	88.199	0.11751	0.0077656	liquid
239.77	9.6000	0.017312	57.762	485.29	540.75	2.3273	1.3869	1.9725	252.20	2.2603	7.5948	0.015956	undefined	vapor
240.00	9.6667	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
240.00	9.6667	0.46532	2.1491	142.90	144.98	0.67663	1.5070	2.8471	873.28	-0.0081060	87.972	0.11732	0.0077333	liquid
240.00	9.6667	0.017433	57.363	485.44	540.89	2.3263	1.3882	1.9760	252.14	2.2564	7.6034	0.015992	undefined	vapor
240.22	9.7333	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
240.22	9.7333	0.46495	2.1508	143.52	145.62	0.67922	1.5075	2.8500	871.42	-0.0078489	87.747	0.11714	0.0077012	liquid
240.22	9.7333	0.017553	56.970	485.58	541.03	2.3253	1.3895	1.9796	252.09	2.2526	7.6120	0.016028	undefined	vapor
240.44	9.8000	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
240.44	9.8000	0.46458	2.1525	144.14	146.25	0.68180	1.5081	2.8528	869.56	-0.0075915	87.523	0.11695	0.0076693	liquid
240.44	9.8000	0.017674	56.581	485.73	541.17	2.3243	1.3907	1.9831	252.03	2.2488	7.6205	0.016064	undefined	vapor
240.66	9.8667	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
240.66	9.8667	0.46421	2.1542	144.76	146.88	0.68436	1.5086	2.8557	867.71	-0.0073337	87.300	0.11677	0.0076375	liquid
240.66	9.8667	0.017794	56.197	485.87	541.31	2.3233	1.3920	1.9867	251.97	2.2450	7.6290	0.016100	undefined	vapor
240.88	9.9333	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
240.88	9.9333	0.46385	2.1559	145.37	147.51	0.68690	1.5091	2.8585	865.87	-0.0070756	87.080	0.11659	0.0076060	liquid
240.88	9.9333	0.017915	55.819	486.01	541.45	2.3223	1.3933	1.9902	251.91	2.2413	7.6374	0.016136	undefined	vapor
241.10	10.000	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
241.10	10.000	0.46348	2.1576	145.98	148.13	0.68944	1.5097	2.8614	864.04	-0.0068172	86.860	0.11641	0.0075746	liquid
241.10	10.000	0.018036	55.445	486.15	541.59	2.3214	1.3945	1.9938	251.85	2.2377	7.6459	0.016172	undefined	vapor
241.32	10.067	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
241.32	10.067	0.46312	2.1593	146.58	148.76	0.69196	1.5102	2.8642	862.22	-0.0065584	86.642	0.11623	0.0075433	liquid
241.32	10.067	0.018157	55.075	486.28	541.73	2.3204	1.3958	1.9973	251.79	2.2340	7.6543	0.016207	undefined	vapor
241.53	10.133	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
241.53	10.133	0.46276	2.1610	147.19	149.38	0.69447	1.5107	2.8671	860.40	-0.0062992	86.426	0.11605	0.0075123	liquid
241.53	10.133	0.018278	54.711	486.42	541.86	2.3195	1.3970	2.0009	251.73	2.2304	7.6627	0.016243	undefined	vapor
241.75	10.200	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
241.75	10.200	0.46240	2.1626	147.79	150.00	0.69697	1.5113	2.8699	858.59	-0.0060397	86.211	0.11587	0.0074814	liquid
241.75	10.200	0.018399	54.350	486.56	541.99	2.3185	1.3983	2.0045	251.67	2.2269	7.6711	0.016279	undefined	vapor
241.96	10.267	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
241.96	10.267	0.46204	2.1643	148.39	150.61	0.69946	1.5118	2.8728	856.79	-0.0057798	85.998	0.11569	0.0074507	liquid
241.96	10.267	0.018520	53.995	486.69	542.13	2.3176	1.3995	2.0081	251.60	2.2233	7.6795	0.016314	undefined	vapor
242.17	10.333	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
242.17	10.333	0.46168	2.1660	148.99	151.23	0.70193	1.5123	2.8757	854.99	-0.0055196	85.786	0.11551	0.0074201	liquid
242.17	10.333	0.018642	53.643	486.82	542.26	2.3166	1.4008	2.0117	251.54	2.2198	7.6879	0.016350	undefined	vapor
242.39	10.400	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
242.39	10.400	0.46132	2.1677	149.58	151.84	0.70440	1.5129	2.8785	853.21	-0.0052589	85.575	0.11534	0.0073897	liquid
242.39	10.400	0.018763	53.296	486.96	542.39	2.3157	1.4020	2.0152	251.48	2.2164	7.6962	0.016385	undefined	vapor
242.60	10.467	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
242.60	10.467	0.46096	2.1694	150.17	152.45	0.70685	1.5134	2.8814	851.43	-0.0049979	85.366	0.11516	0.0073595	liquid
242.60	10.467	0.018884	52.954	487.09	542.51	2.3147	1.4032	2.0188	251.42	2.2129	7.7045	0.016420	undefined	vapor
242.81	10.533	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
242.81	10.533	0.46061	2.1710	150.76	153.05	0.70929	1.5139	2.8843	849.66	-0.0047365	85.158	0.11499	0.0073294	liquid
242.81	10.533	0.019006	52.615	487.22	542.64	2.3138	1.4045	2.0224	251.35	2.2095	7.7128	0.016456	undefined	vapor
243.02	10.600	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
243.02	10.600	0.46025	2.1727	151.35	153.66	0.71171	1.5144	2.8872	847.89	-0.0044746	84.951	0.11482	0.0072995	liquid
243.02	10.600	0.019128	52.280	487.35	542.77	2.3129	1.4057	2.0260	251.29	2.2061	7.7211	0.016491	undefined	vapor
243.22	10.667	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
243.22	10.667	0.45990	2.1744	151.94	154.26	0.71413	1.5150	2.8901	846.13	-0.0042124	84.746	0.11464	0.0072697	liquid
243.22	10.667	0.019249	51.950	487.48	542.89	2.3120	1.4069	2.0296	251.23	2.2028	7.7293	0.016526	undefined	vapor
243.43	10.733	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
243.43	10.733	0.45955	2.1761	152.52	154.86	0.71654	1.5155	2.8929	844.38	-0.0039498	84.542	0.11447	0.0072401	liquid
243.43	10.733	0.019371	51.623	487.60	543.01	2.3111	1.4081	2.0332	251.16	2.1995	7.7376	0.016561	undefined	vapor
243.64	10.800	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
243.64	10.800	0.45920	2.1777	153.10	155.46	0.71893	1.5160	2.8958	842.64	-0.0036867	84.340	0.11430	0.0072106	liquid
243.64	10.800	0.019493	51.300	487.73	543.13	2.3101	1.4094	2.0369	251.10	2.1962	7.7458	0.016596	undefined	vapor
243.84	10.867	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
243.84	10.867	0.45885	2.1794	153.68	156.05	0.72132	1.5166	2.8987	840.90	-0.0034233	84.138	0.11413	0.0071813	liquid
243.84	10.867	0.019615	50.981	487.86	543.25	2.3092	1.4106	2.0405	251.03	2.1929	7.7540	0.016631	undefined	vapor
244.05	10.933	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
244.05	10.933	0.45850	2.1810	154.26	156.64	0.72369	1.5171	2.9016	839.17	-0.0031594	83.938	0.11396	0.0071522	liquid
244.05	10.933	0.019737	50.665	487.98	543.37	2.3083	1.4118	2.0441	250.97	2.1897	7.7622	0.016667	undefined	vapor
244.25	11.000	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
244.25	11.000	0.45815	2.1827	154.84	157.24	0.72605	1.5176	2.9045	837.45	-0.0028950	83.739	0.11379	0.0071231	liquid
244.25	11.000	0.019860	50.353	488.10	543.49	2.3074	1.4130	2.0477	250.90	2.1865	7.7704	0.016702	undefined	vapor
244.45	11.067	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
244.45	11.067	0.45780	2.1844	155.41	157.83	0.72841	1.5181	2.9074	835.73	-0.0026303	83.542	0.11363	0.0070943	liquid
244.45	11.067	0.019982	50.045	488.22	543.61	2.3066	1.4142	2.0514	250.84	2.1833	7.7785	0.016736	undefined	vapor
244.65	11.133	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
244.65	11.133	0.45745	2.1860	155.98	158.41	0.73075	1.5187	2.9103	834.02	-0.0023651	83.345	0.11346	0.0070655	liquid
244.65	11.133	0.020104	49.740	488.35	543.72	2.3057	1.4154	2.0550	250.77	2.1802	7.7867	0.016771	undefined	vapor
244.86	11.200	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
244.86	11.200	0.45711	2.1877	156.55	159.00	0.73308	1.5192	2.9132	832.32	-0.0020994	83.150	0.11330	0.0070370	liquid
244.86	11.200	0.020227	49.439	488.47	543.84	2.3048	1.4166	2.0587	250.70	2.1771	7.7948	0.016806	undefined	vapor
245.06	11.267	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
245.06	11.267	0.45676	2.1893	157.12	159.58	0.73540	1.5197	2.9162	830.62	-0.0018333	82.956	0.11313	0.0070085	liquid
245.06	11.267	0.020350	49.141	488.59	543.95	2.3039	1.4178	2.0623	250.64	2.1740	7.8029	0.016841	undefined	vapor
245.25	11.333	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
245.25	11.333	0.45642	2.1910	157.68	160.16	0.73771	1.5203	2.9191	828.93	-0.0015668	82.763	0.11297	0.0069802	liquid
245.25	11.333	0.020472	48.847	488.70	544.06	2.3030	1.4190	2.0660	250.57	2.1709	7.8110	0.016876	undefined	vapor
245.45	11.400	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
245.45	11.400	0.45608	2.1926	158.24	160.74	0.74001	1.5208	2.9220	827.24	-0.0012998	82.572	0.11280	0.0069521	liquid
245.45	11.400	0.020595	48.555	488.82	544.17	2.3022	1.4202	2.0696	250.50	2.1679	7.8191	0.016911	undefined	vapor
245.65	11.467	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
245.65	11.467	0.45573	2.1943	158.80	161.32	0.74231	1.5213	2.9249	825.56	-0.0010323	82.381	0.11264	0.0069240	liquid
245.65	11.467	0.020718	48.267	488.94	544.28	2.3013	1.4214	2.0733	250.43	2.1649	7.8272	0.016945	undefined	vapor
245.85	11.533	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
245.85	11.533	0.45539	2.1959	159.36	161.90	0.74459	1.5218	2.9279	823.89	-0.00076436	82.192	0.11248	0.0068961	liquid
245.85	11.533	0.020841	47.982	489.05	544.39	2.3004	1.4226	2.0770	250.37	2.1619	7.8353	0.016980	undefined	vapor
246.04	11.600	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
246.04	11.600	0.45505	2.1975	159.92	162.47	0.74686	1.5224	2.9308	822.22	-0.00049593	82.003	0.11232	0.0068684	liquid
246.04	11.600	0.020964	47.700	489.17	544.50	2.2996	1.4238	2.0807	250.30	2.1589	7.8433	0.017015	undefined	vapor
246.24	11.667	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
246.24	11.667	0.45471	2.1992	160.48	163.04	0.74912	1.5229	2.9337	820.56	-0.00022702	81.816	0.11216	0.0068408	liquid
246.24	11.667	0.021087	47.422	489.28	544.61	2.2987	1.4249	2.0844	250.23	2.1560	7.8513	0.017049	undefined	vapor
246.43	11.733	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
246.43	11.733	0.45437	2.2008	161.03	163.61	0.75138	1.5234	2.9367	818.91	4.2370e-05	81.630	0.11200	0.0068133	liquid
246.43	11.733	0.021211	47.146	489.39	544.71	2.2979	1.4261	2.0881	250.16	2.1531	7.8594	0.017084	undefined	vapor
246.63	11.800	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
246.63	11.800	0.45404	2.2025	161.58	164.18	0.75362	1.5239	2.9396	817.26	0.00031226	81.445	0.11184	0.0067859	liquid
246.63	11.800	0.021334	46.873	489.51	544.82	2.2970	1.4273	2.0918	250.09	2.1502	7.8674	0.017118	undefined	vapor
246.82	11.867	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
246.82	11.867	0.45370	2.2041	162.13	164.74	0.75586	1.5245	2.9426	815.62	0.00058264	81.261	0.11168	0.0067587	liquid
246.82	11.867	0.021458	46.603	489.62	544.92	2.2962	1.4285	2.0955	250.02	2.1473	7.8754	0.017153	undefined	vapor
247.01	11.933	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
247.01	11.933	0.45336	2.2057	162.68	165.31	0.75809	1.5250	2.9455	813.98	0.00085352	81.078	0.11153	0.0067316	liquid
247.01	11.933	0.021581	46.336	489.73	545.02	2.2953	1.4296	2.0992	249.95	2.1445	7.8834	0.017187	undefined	vapor
247.20	12.000	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
247.20	12.000	0.45303	2.2074	163.22	165.87	0.76030	1.5255	2.9485	812.35	0.0011249	80.896	0.11137	0.0067046	liquid
247.20	12.000	0.021705	46.072	489.84	545.12	2.2945	1.4308	2.1029	249.88	2.1417	7.8913	0.017222	undefined	vapor
247.39	12.067	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
247.39	12.067	0.45269	2.2090	163.77	166.43	0.76251	1.5260	2.9515	810.72	0.0013968	80.715	0.11121	0.0066777	liquid
247.39	12.067	0.021829	45.810	489.95	545.22	2.2937	1.4320	2.1066	249.81	2.1389	7.8993	0.017256	undefined	vapor
247.58	12.133	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
247.58	12.133	0.45236	2.2106	164.31	166.99	0.76471	1.5266	2.9544	809.10	0.0016692	80.535	0.11106	0.0066510	liquid
247.58	12.133	0.021953	45.552	490.05	545.32	2.2928	1.4332	2.1104	249.74	2.1361	7.9072	0.017291	undefined	vapor
247.77	12.200	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
247.77	12.200	0.45203	2.2123	164.85	167.55	0.76690	1.5271	2.9574	807.49	0.0019422	80.356	0.11090	0.0066244	liquid
247.77	12.200	0.022077	45.296	490.16	545.42	2.2920	1.4343	2.1141	249.67	2.1334	7.9152	0.017325	undefined	vapor
247.96	12.267	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
247.96	12.267	0.45169	2.2139	165.39	168.11	0.76909	1.5276	2.9604	805.88	0.0022156	80.178	0.11075	0.0065979	liquid
247.96	12.267	0.022201	45.042	490.27	545.52	2.2912	1.4355	2.1179	249.60	2.1306	7.9231	0.017359	undefined	vapor
248.14	12.333	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
248.14	12.333	0.45136	2.2155	165.93	168.66	0.77126	1.5281	2.9634	804.27	0.0024896	80.001	0.11060	0.0065716	liquid
248.14	12.333	0.022326	44.791	490.37	545.61	2.2904	1.4366	2.1217	249.53	2.1279	7.9310	0.017394	undefined	vapor
248.33	12.400	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
248.33	12.400	0.45103	2.2171	166.46	169.21	0.77343	1.5287	2.9664	802.68	0.0027642	79.825	0.11044	0.0065453	liquid
248.33	12.400	0.022450	44.543	490.47	545.71	2.2895	1.4378	2.1254	249.45	2.1252	7.9389	0.017428	undefined	vapor
248.52	12.467	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
248.52	12.467	0.45070	2.2188	167.00	169.76	0.77558	1.5292	2.9694	801.08	0.0030393	79.650	0.11029	0.0065192	liquid
248.52	12.467	0.022575	44.298	490.58	545.80	2.2887	1.4390	2.1292	249.38	2.1226	7.9468	0.017462	undefined	vapor
248.70	12.533	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
248.70	12.533	0.45037	2.2204	167.53	170.31	0.77773	1.5297	2.9724	799.50	0.0033149	79.476	0.11014	0.0064932	liquid
248.70	12.533	0.022699	44.054	490.68	545.90	2.2879	1.4401	2.1330	249.31	2.1199	7.9547	0.017497	undefined	vapor
248.89	12.600	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
248.89	12.600	0.45004	2.2220	168.06	170.86	0.77987	1.5302	2.9754	797.91	0.0035911	79.303	0.10999	0.0064673	liquid
248.89	12.600	0.022824	43.813	490.78	545.99	2.2871	1.4413	2.1368	249.24	2.1173	7.9626	0.017531	undefined	vapor
249.07	12.667	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
249.07	12.667	0.44972	2.2236	168.59	171.40	0.78201	1.5307	2.9784	796.33	0.0038678	79.131	0.10984	0.0064415	liquid
249.07	12.667	0.022949	43.575	490.88	546.08	2.2863	1.4424	2.1406	249.16	2.1147	7.9705	0.017565	undefined	vapor
249.25	12.733	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
249.25	12.733	0.44939	2.2252	169.12	171.95	0.78413	1.5313	2.9814	794.76	0.0041451	78.959	0.10969	0.0064159	liquid
249.25	12.733	0.023074	43.339	490.98	546.17	2.2855	1.4436	2.1444	249.09	2.1121	7.9783	0.017599	undefined	vapor
249.43	12.800	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
249.43	12.800	0.44906	2.2269	169.64	172.49	0.78625	1.5318	2.9844	793.19	0.0044229	78.789	0.10954	0.0063903	liquid
249.43	12.800	0.023199	43.105	491.08	546.26	2.2847	1.4447	2.1482	249.02	2.1096	7.9862	0.017634	undefined	vapor
249.62	12.867	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
249.62	12.867	0.44874	2.2285	170.17	173.03	0.78836	1.5323	2.9875	791.63	0.0047014	78.619	0.10939	0.0063649	liquid
249.62	12.867	0.023324	42.874	491.18	546.35	2.2839	1.4458	2.1520	248.94	2.1070	7.9940	0.017668	undefined	vapor
249.80	12.933	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
249.80	12.933	0.44841	2.2301	170.69	173.57	0.79046	1.5328	2.9905	790.07	0.0049804	78.451	0.10925	0.0063396	liquid
249.80	12.933	0.023450	42.645	491.28	546.43	2.2831	1.4470	2.1559	248.87	2.1045	8.0018	0.017702	undefined	vapor
249.98	13.000	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
249.98	13.000	0.44809	2.2317	171.21	174.11	0.79255	1.5334	2.9935	788.52	0.0052600	78.283	0.10910	0.0063143	liquid
249.98	13.000	0.023575	42.418	491.38	546.52	2.2823	1.4481	2.1597	248.80	2.1020	8.0097	0.017736	undefined	vapor
250.16	13.067	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
250.16	13.067	0.44776	2.2333	171.73	174.65	0.79464	1.5339	2.9966	786.97	0.0055401	78.116	0.10895	0.0062892	liquid
250.16	13.067	0.023701	42.193	491.47	546.60	2.2815	1.4493	2.1636	248.72	2.0995	8.0175	0.017770	undefined	vapor
250.34	13.133	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
250.34	13.133	0.44744	2.2349	172.25	175.18	0.79672	1.5344	2.9996	785.43	0.0058209	77.950	0.10881	0.0062642	liquid
250.34	13.133	0.023826	41.970	491.57	546.69	2.2807	1.4504	2.1674	248.65	2.0970	8.0253	0.017804	undefined	vapor
250.51	13.200	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
