Temperature (K)	Pressure (bar)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
298.00	7.6667	0.0098962	101.05	576.67	654.14	2.8073	1.4956	1.8520	299.90	1.1413	9.3299	0.021410	vapor
298.00	7.7333	0.0099880	100.12	576.57	654.00	2.8046	1.4959	1.8531	299.78	1.1418	9.3312	0.021417	vapor
298.00	7.8000	0.010080	99.206	576.48	653.86	2.8019	1.4962	1.8542	299.66	1.1424	9.3324	0.021425	vapor
298.00	7.8667	0.010172	98.308	576.38	653.72	2.7992	1.4965	1.8554	299.54	1.1429	9.3337	0.021433	vapor
298.00	7.9333	0.010264	97.426	576.29	653.58	2.7965	1.4967	1.8565	299.42	1.1434	9.3350	0.021441	vapor
298.00	8.0000	0.010357	96.557	576.19	653.44	2.7939	1.4970	1.8576	299.30	1.1440	9.3362	0.021449	vapor
298.00	8.0667	0.010449	95.704	576.09	653.29	2.7913	1.4973	1.8588	299.18	1.1445	9.3375	0.021457	vapor
298.00	8.1333	0.010541	94.864	576.00	653.15	2.7886	1.4976	1.8599	299.06	1.1450	9.3388	0.021465	vapor
298.00	8.2000	0.010634	94.037	575.90	653.01	2.7861	1.4979	1.8611	298.94	1.1456	9.3401	0.021473	vapor
298.00	8.2667	0.010727	93.224	575.80	652.87	2.7835	1.4982	1.8622	298.82	1.1461	9.3414	0.021481	vapor
298.00	8.3333	0.010820	92.424	575.70	652.72	2.7809	1.4984	1.8634	298.70	1.1466	9.3427	0.021489	vapor
298.00	8.4000	0.010913	91.637	575.61	652.58	2.7784	1.4987	1.8646	298.59	1.1472	9.3440	0.021497	vapor
298.00	8.4667	0.011006	90.862	575.51	652.44	2.7759	1.4990	1.8657	298.47	1.1477	9.3453	0.021505	vapor
298.00	8.5333	0.011099	90.099	575.41	652.30	2.7734	1.4993	1.8669	298.34	1.1482	9.3466	0.021513	vapor
298.00	8.6000	0.011192	89.347	575.32	652.15	2.7709	1.4996	1.8681	298.22	1.1488	9.3479	0.021521	vapor
298.00	8.6667	0.011286	88.608	575.22	652.01	2.7684	1.4999	1.8692	298.10	1.1493	9.3493	0.021529	vapor
298.00	8.7333	0.011379	87.879	575.12	651.87	2.7660	1.5001	1.8704	297.98	1.1499	9.3506	0.021537	vapor
298.00	8.8000	0.011473	87.162	575.02	651.72	2.7635	1.5004	1.8716	297.86	1.1504	9.3520	0.021545	vapor
298.00	8.8667	0.011567	86.455	574.92	651.58	2.7611	1.5007	1.8728	297.74	1.1509	9.3533	0.021553	vapor
298.00	8.9333	0.011661	85.759	574.83	651.44	2.7587	1.5010	1.8740	297.62	1.1515	9.3547	0.021562	vapor
298.00	9.0000	0.011755	85.073	574.73	651.29	2.7563	1.5013	1.8752	297.50	1.1520	9.3560	0.021570	vapor
298.00	9.0667	0.011849	84.397	574.63	651.15	2.7539	1.5016	1.8764	297.38	1.1526	9.3574	0.021578	vapor
298.00	9.1333	0.011943	83.731	574.53	651.00	2.7515	1.5019	1.8776	297.26	1.1531	9.3588	0.021586	vapor
298.00	9.2000	0.012037	83.074	574.43	650.86	2.7492	1.5022	1.8788	297.14	1.1536	9.3601	0.021594	vapor
298.00	9.2667	0.012132	82.427	574.33	650.72	2.7469	1.5025	1.8800	297.02	1.1542	9.3615	0.021603	vapor
298.00	9.3333	0.012227	81.789	574.23	650.57	2.7445	1.5028	1.8812	296.89	1.1547	9.3629	0.021611	vapor
298.00	9.4000	0.012321	81.160	574.13	650.43	2.7422	1.5031	1.8825	296.77	1.1553	9.3643	0.021619	vapor
298.00	9.4667	0.012416	80.540	574.04	650.28	2.7399	1.5034	1.8837	296.65	1.1558	9.3657	0.021628	vapor
298.00	9.5333	0.012511	79.929	573.94	650.14	2.7376	1.5037	1.8849	296.53	1.1564	9.3671	0.021636	vapor
298.00	9.6000	0.012606	79.326	573.84	649.99	2.7354	1.5039	1.8862	296.41	1.1569	9.3685	0.021645	vapor
298.00	9.6667	0.012701	78.731	573.74	649.84	2.7331	1.5042	1.8874	296.29	1.1574	9.3699	0.021653	vapor
298.00	9.7333	0.012797	78.145	573.64	649.70	2.7309	1.5045	1.8886	296.16	1.1580	9.3714	0.021661	vapor
298.00	9.8000	0.012892	77.566	573.54	649.55	2.7286	1.5048	1.8899	296.04	1.1585	9.3728	0.021670	vapor
298.00	9.8667	0.012988	76.995	573.44	649.41	2.7264	1.5051	1.8911	295.92	1.1591	9.3742	0.021678	vapor
298.00	9.9333	0.013084	76.432	573.34	649.26	2.7242	1.5054	1.8924	295.80	1.1596	9.3757	0.021687	vapor
298.00	10.000	0.013179	75.876	573.24	649.11	2.7220	1.5057	1.8937	295.67	1.1602	9.3771	0.021696	vapor
298.00	10.067	0.013275	75.327	573.14	648.97	2.7198	1.5060	1.8949	295.55	1.1607	9.3786	0.021704	vapor
298.00	10.133	0.013371	74.786	573.04	648.82	2.7177	1.5063	1.8962	295.43	1.1613	9.3801	0.021713	vapor
298.00	10.200	0.013468	74.252	572.94	648.67	2.7155	1.5066	1.8975	295.31	1.1618	9.3815	0.021721	vapor
298.00	10.267	0.013564	73.724	572.84	648.53	2.7134	1.5069	1.8987	295.18	1.1624	9.3830	0.021730	vapor
298.00	10.333	0.013661	73.204	572.74	648.38	2.7112	1.5073	1.9000	295.06	1.1629	9.3845	0.021739	vapor
298.00	10.400	0.013757	72.690	572.64	648.23	2.7091	1.5076	1.9013	294.94	1.1635	9.3860	0.021747	vapor
298.00	10.467	0.013854	72.182	572.53	648.08	2.7070	1.5079	1.9026	294.81	1.1641	9.3875	0.021756	vapor
298.00	10.533	0.013951	71.681	572.43	647.94	2.7049	1.5082	1.9039	294.69	1.1646	9.3890	0.021765	vapor
298.00	10.600	0.014048	71.186	572.33	647.79	2.7028	1.5085	1.9052	294.56	1.1652	9.3905	0.021773	vapor
298.00	10.667	0.014145	70.698	572.23	647.64	2.7007	1.5088	1.9065	294.44	1.1657	9.3920	0.021782	vapor
298.00	10.733	0.014242	70.215	572.13	647.49	2.6986	1.5091	1.9078	294.32	1.1663	9.3935	0.021791	vapor
298.00	10.800	0.014339	69.738	572.03	647.34	2.6966	1.5094	1.9091	294.19	1.1668	9.3950	0.021800	vapor
298.00	10.867	0.014437	69.267	571.93	647.20	2.6945	1.5097	1.9105	294.07	1.1674	9.3966	0.021809	vapor
298.00	10.933	0.014534	68.802	571.82	647.05	2.6925	1.5100	1.9118	293.94	1.1679	9.3981	0.021818	vapor
298.00	11.000	0.014632	68.342	571.72	646.90	2.6904	1.5103	1.9131	293.82	1.1685	9.3996	0.021827	vapor
298.00	11.067	0.014730	67.888	571.62	646.75	2.6884	1.5106	1.9145	293.70	1.1691	9.4012	0.021836	vapor
298.00	11.133	0.014828	67.439	571.52	646.60	2.6864	1.5110	1.9158	293.57	1.1696	9.4028	0.021844	vapor
298.00	11.200	0.014926	66.996	571.41	646.45	2.6844	1.5113	1.9172	293.45	1.1702	9.4043	0.021853	vapor
298.00	11.267	0.015025	66.558	571.31	646.30	2.6824	1.5116	1.9185	293.32	1.1708	9.4059	0.021862	vapor
298.00	11.333	0.015123	66.125	571.21	646.15	2.6804	1.5119	1.9199	293.20	1.1713	9.4075	0.021871	vapor
298.00	11.400	0.015221	65.697	571.11	646.00	2.6784	1.5122	1.9212	293.07	1.1719	9.4091	0.021881	vapor
298.00	11.467	0.015320	65.273	571.00	645.85	2.6765	1.5125	1.9226	292.95	1.1724	9.4106	0.021890	vapor
298.00	11.533	0.015419	64.855	570.90	645.70	2.6745	1.5128	1.9240	292.82	1.1730	9.4122	0.021899	vapor
298.00	11.600	0.015518	64.442	570.80	645.55	2.6725	1.5132	1.9253	292.70	1.1736	9.4138	0.021908	vapor
298.00	11.667	0.015617	64.033	570.69	645.40	2.6706	1.5135	1.9267	292.57	1.1741	9.4155	0.021917	vapor
298.00	11.733	0.015716	63.629	570.59	645.25	2.6687	1.5138	1.9281	292.44	1.1747	9.4171	0.021926	vapor
298.00	11.800	0.015816	63.229	570.49	645.10	2.6667	1.5141	1.9295	292.32	1.1753	9.4187	0.021935	vapor
298.00	11.867	0.015915	62.834	570.38	644.95	2.6648	1.5144	1.9309	292.19	1.1758	9.4203	0.021945	vapor
298.00	11.933	0.016015	62.443	570.28	644.79	2.6629	1.5148	1.9323	292.07	1.1764	9.4220	0.021954	vapor
298.00	12.000	0.016114	62.056	570.18	644.64	2.6610	1.5151	1.9337	291.94	1.1770	9.4236	0.021963	vapor
298.00	12.067	0.016214	61.674	570.07	644.49	2.6591	1.5154	1.9351	291.81	1.1775	9.4253	0.021973	vapor
298.00	12.133	0.016314	61.296	569.97	644.34	2.6572	1.5157	1.9365	291.69	1.1781	9.4269	0.021982	vapor
298.00	12.200	0.016415	60.921	569.86	644.19	2.6554	1.5161	1.9379	291.56	1.1787	9.4286	0.021991	vapor
298.00	12.267	0.016515	60.551	569.76	644.03	2.6535	1.5164	1.9394	291.43	1.1793	9.4303	0.022001	vapor
298.00	12.333	0.016615	60.185	569.65	643.88	2.6516	1.5167	1.9408	291.31	1.1798	9.4320	0.022010	vapor
298.00	12.400	0.016716	59.823	569.55	643.73	2.6498	1.5170	1.9422	291.18	1.1804	9.4336	0.022020	vapor
298.00	12.467	0.016817	59.465	569.44	643.58	2.6479	1.5174	1.9437	291.05	1.1810	9.4353	0.022029	vapor
298.00	12.533	0.016918	59.110	569.34	643.42	2.6461	1.5177	1.9451	290.93	1.1816	9.4370	0.022039	vapor
298.00	12.600	0.017019	58.759	569.23	643.27	2.6443	1.5180	1.9466	290.80	1.1821	9.4388	0.022048	vapor
298.00	12.667	0.017120	58.412	569.13	643.12	2.6424	1.5183	1.9480	290.67	1.1827	9.4405	0.022058	vapor
298.00	12.733	0.017221	58.068	569.02	642.96	2.6406	1.5187	1.9495	290.54	1.1833	9.4422	0.022067	vapor
298.00	12.800	0.017323	57.728	568.92	642.81	2.6388	1.5190	1.9510	290.41	1.1839	9.4439	0.022077	vapor
298.00	12.867	0.017424	57.392	568.81	642.65	2.6370	1.5193	1.9524	290.29	1.1845	9.4457	0.022087	vapor
298.00	12.933	0.017526	57.059	568.70	642.50	2.6352	1.5197	1.9539	290.16	1.1850	9.4474	0.022096	vapor
298.00	13.000	0.017628	56.729	568.60	642.35	2.6334	1.5200	1.9554	290.03	1.1856	9.4492	0.022106	vapor
298.00	13.067	0.017730	56.402	568.49	642.19	2.6316	1.5203	1.9569	289.90	1.1862	9.4509	0.022116	vapor
298.00	13.133	0.017832	56.079	568.39	642.04	2.6298	1.5207	1.9584	289.77	1.1868	9.4527	0.022126	vapor
298.00	13.200	0.017934	55.759	568.28	641.88	2.6281	1.5210	1.9599	289.65	1.1874	9.4545	0.022135	vapor
298.00	13.267	0.018037	55.442	568.17	641.73	2.6263	1.5213	1.9614	289.52	1.1879	9.4563	0.022145	vapor
298.00	13.333	0.018139	55.129	568.07	641.57	2.6245	1.5217	1.9629	289.39	1.1885	9.4580	0.022155	vapor
298.00	13.400	0.018242	54.818	567.96	641.41	2.6228	1.5220	1.9645	289.26	1.1891	9.4598	0.022165	vapor
298.00	13.467	0.018345	54.511	567.85	641.26	2.6210	1.5224	1.9660	289.13	1.1897	9.4616	0.022175	vapor
298.00	13.533	0.018448	54.206	567.74	641.10	2.6193	1.5227	1.9675	289.00	1.1903	9.4635	0.022185	vapor
298.00	13.600	0.018551	53.905	567.64	640.95	2.6176	1.5230	1.9691	288.87	1.1909	9.4653	0.022195	vapor
298.00	13.667	0.018655	53.606	567.53	640.79	2.6158	1.5234	1.9706	288.74	1.1915	9.4671	0.022205	vapor
298.00	13.733	0.018758	53.310	567.42	640.63	2.6141	1.5237	1.9722	288.61	1.1921	9.4689	0.022215	vapor
298.00	13.800	0.018862	53.017	567.31	640.48	2.6124	1.5241	1.9737	288.48	1.1926	9.4708	0.022225	vapor
298.00	13.867	0.018966	52.727	567.21	640.32	2.6107	1.5244	1.9753	288.35	1.1932	9.4726	0.022235	vapor
298.00	13.933	0.019070	52.439	567.10	640.16	2.6090	1.5248	1.9768	288.22	1.1938	9.4745	0.022245	vapor
298.00	14.000	0.019174	52.155	566.99	640.01	2.6073	1.5251	1.9784	288.09	1.1944	9.4764	0.022255	vapor
298.00	14.067	0.019278	51.873	566.88	639.85	2.6056	1.5254	1.9800	287.96	1.1950	9.4782	0.022266	vapor
298.00	14.133	0.019382	51.593	566.77	639.69	2.6039	1.5258	1.9816	287.83	1.1956	9.4801	0.022276	vapor
298.00	14.200	0.019487	51.316	566.66	639.53	2.6022	1.5261	1.9832	287.70	1.1962	9.4820	0.022286	vapor
298.00	14.267	0.019592	51.042	566.55	639.37	2.6006	1.5265	1.9848	287.57	1.1968	9.4839	0.022296	vapor
298.00	14.333	0.019697	50.770	566.44	639.21	2.5989	1.5268	1.9864	287.44	1.1974	9.4858	0.022307	vapor
298.00	14.400	0.019802	50.501	566.34	639.06	2.5972	1.5272	1.9880	287.31	1.1980	9.4877	0.022317	vapor
298.00	14.467	0.019907	50.234	566.23	638.90	2.5956	1.5275	1.9896	287.18	1.1986	9.4897	0.022327	vapor
298.00	14.533	0.020012	49.969	566.12	638.74	2.5939	1.5279	1.9913	287.05	1.1992	9.4916	0.022338	vapor
298.00	14.600	0.020118	49.707	566.01	638.58	2.5923	1.5282	1.9929	286.91	1.1998	9.4935	0.022348	vapor
298.00	14.667	0.020224	49.447	565.90	638.42	2.5906	1.5286	1.9945	286.78	1.2004	9.4955	0.022359	vapor
298.00	14.733	0.020329	49.190	565.79	638.26	2.5890	1.5289	1.9962	286.65	1.2010	9.4974	0.022369	vapor
298.00	14.800	0.020435	48.935	565.68	638.10	2.5873	1.5293	1.9978	286.52	1.2016	9.4994	0.022380	vapor
298.00	14.867	0.020542	48.682	565.57	637.94	2.5857	1.5297	1.9995	286.39	1.2022	9.5014	0.022390	vapor
298.00	14.933	0.020648	48.431	565.46	637.78	2.5841	1.5300	2.0011	286.26	1.2028	9.5033	0.022401	vapor
298.00	15.000	0.020754	48.183	565.34	637.62	2.5825	1.5304	2.0028	286.12	1.2034	9.5053	0.022412	vapor
298.00	15.067	0.020861	47.936	565.23	637.46	2.5809	1.5307	2.0045	285.99	1.2040	9.5073	0.022422	vapor
298.00	15.133	0.020968	47.692	565.12	637.30	2.5792	1.5311	2.0062	285.86	1.2046	9.5093	0.022433	vapor
298.00	15.200	0.021075	47.450	565.01	637.14	2.5776	1.5314	2.0079	285.73	1.2052	9.5113	0.022444	vapor
298.00	15.267	0.021182	47.210	564.90	636.97	2.5760	1.5318	2.0096	285.59	1.2058	9.5134	0.022455	vapor
298.00	15.333	0.021289	46.972	564.79	636.81	2.5744	1.5322	2.0113	285.46	1.2064	9.5154	0.022465	vapor
298.00	15.400	0.021397	46.736	564.68	636.65	2.5729	1.5325	2.0130	285.33	1.2071	9.5174	0.022476	vapor
298.00	15.467	0.021504	46.502	564.57	636.49	2.5713	1.5329	2.0147	285.19	1.2077	9.5195	0.022487	vapor
298.00	15.533	0.021612	46.270	564.45	636.33	2.5697	1.5333	2.0164	285.06	1.2083	9.5215	0.022498	vapor
298.00	15.600	0.021720	46.040	564.34	636.16	2.5681	1.5336	2.0182	284.93	1.2089	9.5236	0.022509	vapor
298.00	15.667	0.021828	45.812	564.23	636.00	2.5665	1.5340	2.0199	284.79	1.2095	9.5257	0.022520	vapor
298.00	15.733	0.021937	45.586	564.12	635.84	2.5650	1.5344	2.0217	284.66	1.2101	9.5278	0.022531	vapor
298.00	15.800	0.022045	45.361	564.00	635.67	2.5634	1.5347	2.0234	284.52	1.2107	9.5299	0.022542	vapor
298.00	15.867	0.022154	45.139	563.89	635.51	2.5618	1.5351	2.0252	284.39	1.2114	9.5320	0.022553	vapor
298.00	15.933	0.022263	44.918	563.78	635.35	2.5603	1.5355	2.0270	284.26	1.2120	9.5341	0.022564	vapor
298.00	16.000	0.022372	44.699	563.66	635.18	2.5587	1.5358	2.0287	284.12	1.2126	9.5362	0.022576	vapor
298.00	16.067	0.022481	44.482	563.55	635.02	2.5572	1.5362	2.0305	283.99	1.2132	9.5383	0.022587	vapor
298.00	16.133	0.022590	44.267	563.44	634.86	2.5556	1.5366	2.0323	283.85	1.2138	9.5404	0.022598	vapor
298.00	16.200	0.022700	44.053	563.32	634.69	2.5541	1.5369	2.0341	283.72	1.2145	9.5426	0.022609	vapor
298.00	16.267	0.022809	43.842	563.21	634.53	2.5526	1.5373	2.0359	283.58	1.2151	9.5447	0.022621	vapor
298.00	16.333	0.022919	43.631	563.10	634.36	2.5510	1.5377	2.0377	283.45	1.2157	9.5469	0.022632	vapor
298.00	16.400	0.023029	43.423	562.98	634.20	2.5495	1.5381	2.0396	283.31	1.2163	9.5491	0.022643	vapor
298.00	16.467	0.023140	43.216	562.87	634.03	2.5480	1.5384	2.0414	283.17	1.2170	9.5513	0.022655	vapor
298.00	16.533	0.023250	43.011	562.75	633.86	2.5465	1.5388	2.0432	283.04	1.2176	9.5534	0.022666	vapor
298.00	16.600	0.023361	42.807	562.64	633.70	2.5449	1.5392	2.0451	282.90	1.2182	9.5556	0.022678	vapor
298.00	16.667	0.023471	42.605	562.52	633.53	2.5434	1.5396	2.0469	282.77	1.2188	9.5579	0.022689	vapor
298.00	16.733	0.023582	42.405	562.41	633.37	2.5419	1.5400	2.0488	282.63	1.2195	9.5601	0.022701	vapor
298.00	16.800	0.023693	42.206	562.29	633.20	2.5404	1.5403	2.0507	282.49	1.2201	9.5623	0.022713	vapor
298.00	16.867	0.023805	42.009	562.18	633.03	2.5389	1.5407	2.0525	282.36	1.2207	9.5645	0.022724	vapor
298.00	16.933	0.023916	41.813	562.06	632.86	2.5374	1.5411	2.0544	282.22	1.2214	9.5668	0.022736	vapor
298.00	17.000	0.024028	41.618	561.95	632.70	2.5359	1.5415	2.0563	282.08	1.2220	9.5690	0.022748	vapor
298.00	17.067	0.024140	41.425	561.83	632.53	2.5344	1.5419	2.0582	281.95	1.2226	9.5713	0.022760	vapor
298.00	17.133	0.024252	41.234	561.71	632.36	2.5329	1.5423	2.0601	281.81	1.2233	9.5736	0.022771	vapor
298.00	17.200	0.024364	41.044	561.60	632.19	2.5314	1.5426	2.0621	281.67	1.2239	9.5759	0.022783	vapor
298.00	17.267	0.024476	40.856	561.48	632.03	2.5300	1.5430	2.0640	281.54	1.2245	9.5782	0.022795	vapor
298.00	17.333	0.024589	40.669	561.36	631.86	2.5285	1.5434	2.0659	281.40	1.2252	9.5805	0.022807	vapor
298.00	17.400	0.024702	40.483	561.25	631.69	2.5270	1.5438	2.0679	281.26	1.2258	9.5828	0.022819	vapor
298.00	17.467	0.024815	40.299	561.13	631.52	2.5255	1.5442	2.0698	281.12	1.2264	9.5851	0.022831	vapor
298.00	17.533	0.024928	40.116	561.01	631.35	2.5241	1.5446	2.0718	280.98	1.2271	9.5874	0.022843	vapor
298.00	17.600	0.025041	39.934	560.90	631.18	2.5226	1.5450	2.0738	280.85	1.2277	9.5898	0.022855	vapor
298.00	17.667	0.025155	39.754	560.78	631.01	2.5211	1.5454	2.0757	280.71	1.2284	9.5921	0.022867	vapor
298.00	17.733	0.025269	39.575	560.66	630.84	2.5197	1.5458	2.0777	280.57	1.2290	9.5945	0.022880	vapor
298.00	17.800	0.025383	39.397	560.54	630.67	2.5182	1.5462	2.0797	280.43	1.2297	9.5969	0.022892	vapor
298.00	17.867	0.025497	39.221	560.42	630.50	2.5168	1.5466	2.0817	280.29	1.2303	9.5993	0.022904	vapor
298.00	17.933	0.025611	39.046	560.31	630.33	2.5153	1.5470	2.0837	280.15	1.2310	9.6017	0.022917	vapor
298.00	18.000	0.025725	38.872	560.19	630.16	2.5139	1.5474	2.0858	280.01	1.2316	9.6041	0.022929	vapor
298.00	18.067	0.025840	38.699	560.07	629.99	2.5124	1.5478	2.0878	279.87	1.2323	9.6065	0.022941	vapor
298.00	18.133	0.025955	38.528	559.95	629.81	2.5110	1.5481	2.0898	279.73	1.2329	9.6089	0.022954	vapor
298.00	18.200	0.026070	38.358	559.83	629.64	2.5096	1.5486	2.0919	279.59	1.2336	9.6113	0.022966	vapor
298.00	18.267	0.026185	38.189	559.71	629.47	2.5081	1.5490	2.0940	279.45	1.2342	9.6138	0.022979	vapor
298.00	18.333	0.026301	38.021	559.59	629.30	2.5067	1.5494	2.0960	279.31	1.2349	9.6162	0.022991	vapor
298.00	18.400	0.026417	37.855	559.47	629.12	2.5053	1.5498	2.0981	279.17	1.2355	9.6187	0.023004	vapor
298.00	18.467	0.026533	37.689	559.35	628.95	2.5039	1.5502	2.1002	279.03	1.2362	9.6212	0.023017	vapor
298.00	18.533	0.026649	37.525	559.23	628.78	2.5024	1.5506	2.1023	278.89	1.2368	9.6237	0.023029	vapor
298.00	18.600	0.026765	37.362	559.11	628.61	2.5010	1.5510	2.1044	278.75	1.2375	9.6262	0.023042	vapor
298.00	18.667	0.026882	37.200	558.99	628.43	2.4996	1.5514	2.1065	278.61	1.2381	9.6287	0.023055	vapor
298.00	18.733	0.026998	37.039	558.87	628.26	2.4982	1.5518	2.1086	278.47	1.2388	9.6312	0.023068	vapor
298.00	18.800	0.027115	36.880	558.75	628.08	2.4968	1.5522	2.1108	278.33	1.2395	9.6337	0.023081	vapor
298.00	18.867	0.027232	36.721	558.63	627.91	2.4954	1.5526	2.1129	278.19	1.2401	9.6363	0.023094	vapor
298.00	18.933	0.027350	36.564	558.51	627.73	2.4939	1.5530	2.1151	278.04	1.2408	9.6388	0.023107	vapor
298.00	19.000	0.027467	36.407	558.39	627.56	2.4925	1.5534	2.1173	277.90	1.2414	9.6414	0.023120	vapor
298.00	19.067	0.027585	36.252	558.26	627.38	2.4911	1.5539	2.1194	277.76	1.2421	9.6440	0.023133	vapor
298.00	19.133	0.027703	36.097	558.14	627.21	2.4897	1.5543	2.1216	277.62	1.2428	9.6465	0.023146	vapor
298.00	19.200	0.027821	35.944	558.02	627.03	2.4883	1.5547	2.1238	277.48	1.2434	9.6491	0.023159	vapor
298.00	19.267	0.027939	35.792	557.90	626.86	2.4870	1.5551	2.1260	277.33	1.2441	9.6518	0.023172	vapor
298.00	19.333	0.028058	35.640	557.77	626.68	2.4856	1.5555	2.1282	277.19	1.2448	9.6544	0.023186	vapor
298.00	19.400	0.028177	35.490	557.65	626.50	2.4842	1.5559	2.1305	277.05	1.2455	9.6570	0.023199	vapor
298.00	19.467	0.028296	35.341	557.53	626.33	2.4828	1.5564	2.1327	276.90	1.2461	9.6596	0.023212	vapor
298.00	19.533	0.028415	35.192	557.41	626.15	2.4814	1.5568	2.1350	276.76	1.2468	9.6623	0.023226	vapor
298.00	19.600	0.028535	35.045	557.28	625.97	2.4800	1.5572	2.1372	276.62	1.2475	9.6650	0.023239	vapor
298.00	19.667	0.028654	34.899	557.16	625.79	2.4786	1.5576	2.1395	276.47	1.2481	9.6676	0.023253	vapor
298.00	19.733	0.028774	34.753	557.03	625.61	2.4773	1.5581	2.1418	276.33	1.2488	9.6703	0.023266	vapor
298.00	19.800	0.028894	34.609	556.91	625.44	2.4759	1.5585	2.1441	276.19	1.2495	9.6730	0.023280	vapor
298.00	19.867	0.029015	34.465	556.79	625.26	2.4745	1.5589	2.1464	276.04	1.2502	9.6757	0.023294	vapor
298.00	19.933	0.029135	34.323	556.66	625.08	2.4732	1.5593	2.1487	275.90	1.2509	9.6785	0.023308	vapor
298.00	20.000	0.029256	34.181	556.54	624.90	2.4718	1.5598	2.1510	275.75	1.2515	9.6812	0.023321	vapor
298.00	20.067	0.029377	34.040	556.41	624.72	2.4704	1.5602	2.1534	275.61	1.2522	9.6840	0.023335	vapor
298.00	20.133	0.029498	33.900	556.29	624.54	2.4691	1.5606	2.1557	275.46	1.2529	9.6867	0.023349	vapor
298.00	20.200	0.029620	33.761	556.16	624.36	2.4677	1.5611	2.1581	275.32	1.2536	9.6895	0.023363	vapor
298.00	20.267	0.029742	33.623	556.04	624.18	2.4663	1.5615	2.1605	275.17	1.2543	9.6923	0.023377	vapor
298.00	20.333	0.029863	33.486	555.91	624.00	2.4650	1.5619	2.1628	275.03	1.2550	9.6951	0.023391	vapor
298.00	20.400	0.029986	33.349	555.78	623.82	2.4636	1.5624	2.1652	274.88	1.2556	9.6979	0.023405	vapor
298.00	20.467	0.030108	33.214	555.66	623.64	2.4623	1.5628	2.1676	274.74	1.2563	9.7007	0.023419	vapor
298.00	20.533	0.030231	33.079	555.53	623.45	2.4609	1.5632	2.1701	274.59	1.2570	9.7035	0.023434	vapor
298.00	20.600	0.030354	32.945	555.40	623.27	2.4596	1.5637	2.1725	274.44	1.2577	9.7064	0.023448	vapor
298.00	20.667	0.030477	32.812	555.28	623.09	2.4582	1.5641	2.1749	274.30	1.2584	9.7092	0.023462	vapor
298.00	20.733	0.030600	32.680	555.15	622.91	2.4569	1.5646	2.1774	274.15	1.2591	9.7121	0.023476	vapor
298.00	20.800	0.030723	32.548	555.02	622.72	2.4555	1.5650	2.1799	274.00	1.2598	9.7150	0.023491	vapor
298.00	20.867	0.030847	32.418	554.90	622.54	2.4542	1.5655	2.1824	273.86	1.2605	9.7179	0.023505	vapor
298.00	20.933	0.030971	32.288	554.77	622.36	2.4528	1.5659	2.1849	273.71	1.2612	9.7208	0.023520	vapor
298.00	21.000	0.031096	32.159	554.64	622.17	2.4515	1.5663	2.1874	273.56	1.2619	9.7237	0.023535	vapor
298.00	21.067	0.031220	32.031	554.51	621.99	2.4502	1.5668	2.1899	273.41	1.2626	9.7266	0.023549	vapor
298.00	21.133	0.031345	31.903	554.38	621.80	2.4488	1.5672	2.1924	273.27	1.2633	9.7296	0.023564	vapor
298.00	21.200	0.031470	31.776	554.25	621.62	2.4475	1.5677	2.1950	273.12	1.2640	9.7326	0.023579	vapor
298.00	21.267	0.031595	31.650	554.12	621.43	2.4462	1.5682	2.1975	272.97	1.2647	9.7355	0.023594	vapor
298.00	21.333	0.031721	31.525	554.00	621.25	2.4448	1.5686	2.2001	272.82	1.2654	9.7385	0.023608	vapor
298.00	21.400	0.031846	31.401	553.87	621.06	2.4435	1.5691	2.2027	272.67	1.2661	9.7415	0.023623	vapor
298.00	21.467	0.031972	31.277	553.74	620.88	2.4422	1.5695	2.2053	272.52	1.2668	9.7445	0.023638	vapor
298.00	21.533	0.032099	31.154	553.61	620.69	2.4409	1.5700	2.2079	272.38	1.2675	9.7476	0.023653	vapor
298.00	21.600	0.032225	31.032	553.48	620.50	2.4395	1.5704	2.2105	272.23	1.2682	9.7506	0.023669	vapor
298.00	21.667	0.032352	30.910	553.35	620.32	2.4382	1.5709	2.2132	272.08	1.2689	9.7537	0.023684	vapor
298.00	21.733	0.032479	30.789	553.21	620.13	2.4369	1.5714	2.2158	271.93	1.2697	9.7567	0.023699	vapor
298.00	21.800	0.032606	30.669	553.08	619.94	2.4356	1.5718	2.2185	271.78	1.2704	9.7598	0.023714	vapor
298.00	21.867	0.032734	30.550	552.95	619.75	2.4343	1.5723	2.2212	271.63	1.2711	9.7629	0.023730	vapor
298.00	21.933	0.032861	30.431	552.82	619.57	2.4330	1.5727	2.2239	271.48	1.2718	9.7660	0.023745	vapor
298.00	22.000	0.032990	30.313	552.69	619.38	2.4316	1.5732	2.2266	271.33	1.2725	9.7691	0.023761	vapor
298.00	22.067	0.033118	30.195	552.56	619.19	2.4303	1.5737	2.2293	271.18	1.2732	9.7723	0.023776	vapor
298.00	22.133	0.033246	30.078	552.42	619.00	2.4290	1.5741	2.2320	271.02	1.2740	9.7754	0.023792	vapor
298.00	22.200	0.033375	29.962	552.29	618.81	2.4277	1.5746	2.2348	270.87	1.2747	9.7786	0.023808	vapor
