Temperature (K)	Pressure (bar)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
298.00	38.200	0.079121	12.639	506.26	554.54	2.1042	1.7895	4.4106	224.16	1.4872	11.395	0.032358	vapor
298.00	38.267	0.079449	12.587	505.93	554.10	2.1025	1.7917	4.4437	223.88	1.4881	11.411	0.032451	vapor
298.00	38.333	0.079781	12.534	505.61	553.65	2.1007	1.7939	4.4776	223.59	1.4890	11.426	0.032547	vapor
298.00	38.400	0.080115	12.482	505.28	553.21	2.0989	1.7961	4.5123	223.31	1.4899	11.441	0.032643	vapor
298.00	38.467	0.080452	12.430	504.95	552.76	2.0971	1.7983	4.5478	223.02	1.4908	11.457	0.032742	vapor
298.00	38.533	0.080793	12.377	504.61	552.30	2.0953	1.8006	4.5842	222.73	1.4917	11.473	0.032842	vapor
298.00	38.600	0.081137	12.325	504.27	551.85	2.0935	1.8029	4.6216	222.44	1.4925	11.489	0.032944	vapor
298.00	38.667	0.081484	12.272	503.93	551.38	2.0917	1.8053	4.6599	222.14	1.4934	11.506	0.033048	vapor
298.00	38.733	0.081834	12.220	503.59	550.92	2.0898	1.8077	4.6993	221.85	1.4943	11.522	0.033154	vapor
298.00	38.800	0.082188	12.167	503.24	550.45	2.0880	1.8101	4.7397	221.55	1.4951	11.539	0.033261	vapor
298.00	38.867	0.082545	12.115	502.89	549.97	2.0861	1.8126	4.7812	221.25	1.4960	11.556	0.033371	vapor
298.00	38.933	0.082907	12.062	502.53	549.49	2.0843	1.8151	4.8238	220.95	1.4968	11.573	0.033483	vapor
298.00	39.000	0.083271	12.009	502.18	549.01	2.0824	1.8177	4.8676	220.65	1.4977	11.591	0.033596	vapor
298.00	39.067	0.083640	11.956	501.81	548.52	2.0805	1.8203	4.9127	220.34	1.4985	11.608	0.033713	vapor
298.00	39.133	0.084013	11.903	501.45	548.03	2.0785	1.8230	4.9591	220.03	1.4993	11.626	0.033831	vapor
298.00	39.200	0.084389	11.850	501.08	547.53	2.0766	1.8257	5.0069	219.72	1.5001	11.645	0.033952	vapor
298.00	39.267	0.084770	11.797	500.71	547.03	2.0746	1.8285	5.0561	219.41	1.5009	11.663	0.034075	vapor
298.00	39.333	0.085155	11.743	500.33	546.52	2.0727	1.8313	5.1068	219.09	1.5017	11.682	0.034201	vapor
298.00	39.400	0.085545	11.690	499.95	546.01	2.0707	1.8342	5.1591	218.77	1.5024	11.701	0.034330	vapor
298.00	39.467	0.085939	11.636	499.56	545.49	2.0687	1.8372	5.2130	218.45	1.5032	11.721	0.034462	vapor
298.00	39.533	0.086337	11.582	499.17	544.96	2.0667	1.8402	5.2688	218.13	1.5039	11.740	0.034596	vapor
298.00	39.600	0.086741	11.529	498.78	544.43	2.0646	1.8433	5.3263	217.80	1.5046	11.760	0.034734	vapor
298.00	39.667	0.087150	11.475	498.38	543.89	2.0626	1.8464	5.3858	217.47	1.5053	11.781	0.034875	vapor
298.00	39.733	0.087564	11.420	497.97	543.35	2.0605	1.8496	5.4474	217.14	1.5060	11.801	0.035019	vapor
298.00	39.800	0.087983	11.366	497.56	542.80	2.0584	1.8529	5.5111	216.80	1.5067	11.822	0.035167	vapor
298.00	39.867	0.088407	11.311	497.15	542.24	2.0563	1.8563	5.5771	216.46	1.5073	11.844	0.035318	vapor
298.00	39.933	0.088838	11.256	496.73	541.68	2.0541	1.8597	5.6456	216.12	1.5080	11.865	0.035474	vapor
298.00	40.000	0.089274	11.201	496.30	541.11	2.0519	1.8632	5.7166	215.77	1.5086	11.888	0.035633	vapor
