Temperature (K)	Pressure (bar)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
274.67	24.754	396.62	0.0025213	247.50	253.74	1.0853	1.6268	3.6860	564.64	0.068739	57.040	0.089404	0.0030397	48.173	0.020758	499.25	550.63	2.1663	1.6387	3.0872	233.15	1.8244	9.4008	0.024059
274.71	24.782	396.50	0.0025220	247.65	253.90	1.0859	1.6270	3.6883	564.19	0.068936	57.002	0.089367	0.0030340	48.239	0.020730	499.25	550.62	2.1660	1.6392	3.0903	233.11	1.8240	9.4044	0.024075
274.76	24.810	396.39	0.0025228	247.81	254.07	1.0865	1.6272	3.6905	563.74	0.069135	56.964	0.089330	0.0030282	48.304	0.020702	499.25	550.61	2.1658	1.6396	3.0935	233.07	1.8235	9.4080	0.024092
274.81	24.837	396.27	0.0025235	247.97	254.23	1.0871	1.6275	3.6927	563.29	0.069333	56.926	0.089294	0.0030224	48.370	0.020674	499.25	550.60	2.1655	1.6401	3.0966	233.03	1.8231	9.4116	0.024109
274.85	24.865	396.16	0.0025242	248.12	254.40	1.0876	1.6277	3.6950	562.84	0.069532	56.888	0.089257	0.0030167	48.436	0.020646	499.25	550.59	2.1653	1.6405	3.0998	232.98	1.8226	9.4152	0.024126
274.90	24.893	396.04	0.0025250	248.28	254.56	1.0882	1.6279	3.6972	562.39	0.069732	56.850	0.089220	0.0030109	48.502	0.020618	499.25	550.57	2.1650	1.6410	3.1030	232.94	1.8222	9.4188	0.024143
274.95	24.921	395.93	0.0025257	248.44	254.73	1.0888	1.6281	3.6995	561.95	0.069932	56.812	0.089183	0.0030051	48.568	0.020590	499.25	550.56	2.1647	1.6415	3.1062	232.90	1.8217	9.4224	0.024160
274.99	24.948	395.81	0.0025265	248.59	254.90	1.0894	1.6284	3.7017	561.50	0.070132	56.774	0.089147	0.0029994	48.634	0.020562	499.25	550.55	2.1645	1.6419	3.1094	232.86	1.8213	9.4260	0.024178
275.04	24.976	395.69	0.0025272	248.75	255.06	1.0899	1.6286	3.7040	561.05	0.070333	56.737	0.089110	0.0029936	48.700	0.020534	499.25	550.54	2.1642	1.6424	3.1126	232.82	1.8208	9.4296	0.024195
275.09	25.004	395.58	0.0025280	248.91	255.23	1.0905	1.6288	3.7062	560.60	0.070535	56.699	0.089073	0.0029879	48.766	0.020506	499.25	550.52	2.1640	1.6429	3.1158	232.78	1.8203	9.4332	0.024212
275.13	25.032	395.46	0.0025287	249.06	255.39	1.0911	1.6291	3.7085	560.15	0.070737	56.661	0.089036	0.0029821	48.833	0.020478	499.25	550.51	2.1637	1.6433	3.1191	232.73	1.8199	9.4368	0.024229
275.18	25.060	395.34	0.0025294	249.22	255.56	1.0917	1.6293	3.7108	559.70	0.070939	56.623	0.089000	0.0029764	48.899	0.020450	499.25	550.50	2.1635	1.6438	3.1223	232.69	1.8194	9.4404	0.024246
275.23	25.088	395.23	0.0025302	249.38	255.72	1.0922	1.6295	3.7131	559.25	0.071142	56.585	0.088963	0.0029706	48.966	0.020422	499.25	550.49	2.1632	1.6443	3.1256	232.65	1.8190	9.4441	0.024264
275.27	25.116	395.11	0.0025309	249.53	255.89	1.0928	1.6297	3.7154	558.80	0.071346	56.547	0.088926	0.0029649	49.033	0.020395	499.25	550.47	2.1630	1.6447	3.1288	232.61	1.8185	9.4477	0.024281
275.32	25.144	394.99	0.0025317	249.69	256.06	1.0934	1.6300	3.7177	558.35	0.071550	56.509	0.088889	0.0029591	49.099	0.020367	499.25	550.46	2.1627	1.6452	3.1321	232.57	1.8181	9.4514	0.024298
275.37	25.172	394.88	0.0025324	249.85	256.22	1.0940	1.6302	3.7200	557.89	0.071755	56.471	0.088852	0.0029534	49.166	0.020339	499.25	550.45	2.1625	1.6457	3.1354	232.53	1.8176	9.4550	0.024316
275.41	25.200	394.76	0.0025332	250.00	256.39	1.0946	1.6304	3.7223	557.44	0.071960	56.433	0.088816	0.0029476	49.233	0.020311	499.25	550.43	2.1622	1.6461	3.1387	232.48	1.8172	9.4587	0.024333
275.46	25.228	394.64	0.0025339	250.16	256.55	1.0951	1.6307	3.7246	556.99	0.072165	56.395	0.088779	0.0029419	49.301	0.020284	499.25	550.42	2.1619	1.6466	3.1420	232.44	1.8167	9.4623	0.024350
275.51	25.256	394.53	0.0025347	250.32	256.72	1.0957	1.6309	3.7270	556.54	0.072371	56.357	0.088742	0.0029361	49.368	0.020256	499.25	550.41	2.1617	1.6471	3.1453	232.40	1.8163	9.4660	0.024368
275.55	25.284	394.41	0.0025354	250.48	256.89	1.0963	1.6311	3.7293	556.09	0.072578	56.319	0.088705	0.0029304	49.435	0.020228	499.25	550.39	2.1614	1.6476	3.1486	232.36	1.8158	9.4697	0.024385
275.60	25.312	394.29	0.0025362	250.63	257.05	1.0969	1.6313	3.7316	555.64	0.072785	56.281	0.088669	0.0029247	49.503	0.020201	499.25	550.38	2.1612	1.6480	3.1520	232.32	1.8154	9.4734	0.024403
275.65	25.340	394.17	0.0025370	250.79	257.22	1.0974	1.6316	3.7340	555.19	0.072992	56.243	0.088632	0.0029189	49.570	0.020173	499.24	550.36	2.1609	1.6485	3.1553	232.27	1.8149	9.4771	0.024420
275.69	25.368	394.06	0.0025377	250.95	257.39	1.0980	1.6318	3.7364	554.74	0.073201	56.205	0.088595	0.0029132	49.638	0.020146	499.24	550.35	2.1607	1.6490	3.1587	232.23	1.8145	9.4807	0.024438
275.74	25.396	393.94	0.0025385	251.11	257.55	1.0986	1.6320	3.7387	554.29	0.073409	56.168	0.088558	0.0029075	49.706	0.020118	499.24	550.34	2.1604	1.6494	3.1620	232.19	1.8140	9.4844	0.024456
275.79	25.425	393.82	0.0025392	251.26	257.72	1.0992	1.6323	3.7411	553.83	0.073618	56.130	0.088522	0.0029018	49.774	0.020091	499.24	550.32	2.1602	1.6499	3.1654	232.15	1.8135	9.4881	0.024473
275.83	25.453	393.70	0.0025400	251.42	257.89	1.0998	1.6325	3.7435	553.38	0.073828	56.092	0.088485	0.0028960	49.842	0.020064	499.24	550.31	2.1599	1.6504	3.1688	232.10	1.8131	9.4919	0.024491
275.88	25.481	393.59	0.0025407	251.58	258.05	1.1003	1.6327	3.7458	552.93	0.074038	56.054	0.088448	0.0028903	49.910	0.020036	499.24	550.29	2.1596	1.6509	3.1722	232.06	1.8126	9.4956	0.024509
275.93	25.509	393.47	0.0025415	251.74	258.22	1.1009	1.6330	3.7482	552.48	0.074249	56.016	0.088411	0.0028846	49.978	0.020009	499.24	550.28	2.1594	1.6514	3.1756	232.02	1.8122	9.4993	0.024526
275.97	25.538	393.35	0.0025423	251.90	258.39	1.1015	1.6332	3.7506	552.02	0.074460	55.978	0.088375	0.0028789	50.046	0.019982	499.24	550.26	2.1591	1.6518	3.1790	231.98	1.8117	9.5030	0.024544
276.02	25.566	393.23	0.0025430	252.05	258.56	1.1021	1.6334	3.7530	551.57	0.074672	55.940	0.088338	0.0028732	50.115	0.019954	499.23	550.25	2.1589	1.6523	3.1825	231.93	1.8113	9.5068	0.024562
276.07	25.594	393.11	0.0025438	252.21	258.72	1.1027	1.6337	3.7554	551.12	0.074885	55.902	0.088301	0.0028674	50.183	0.019927	499.23	550.24	2.1586	1.6528	3.1859	231.89	1.8108	9.5105	0.024580
276.11	25.623	392.99	0.0025446	252.37	258.89	1.1032	1.6339	3.7579	550.67	0.075097	55.864	0.088264	0.0028617	50.252	0.019900	499.23	550.22	2.1583	1.6533	3.1894	231.85	1.8104	9.5142	0.024598
276.16	25.651	392.87	0.0025453	252.53	259.06	1.1038	1.6341	3.7603	550.21	0.075311	55.826	0.088228	0.0028560	50.320	0.019873	499.23	550.21	2.1581	1.6537	3.1928	231.80	1.8099	9.5180	0.024616
276.21	25.680	392.76	0.0025461	252.69	259.22	1.1044	1.6344	3.7627	549.76	0.075525	55.788	0.088191	0.0028503	50.389	0.019845	499.23	550.19	2.1578	1.6542	3.1963	231.76	1.8095	9.5218	0.024634
276.25	25.708	392.64	0.0025469	252.84	259.39	1.1050	1.6346	3.7651	549.31	0.075739	55.751	0.088154	0.0028446	50.458	0.019818	499.23	550.17	2.1576	1.6547	3.1998	231.72	1.8090	9.5255	0.024652
276.30	25.736	392.52	0.0025477	253.00	259.56	1.1056	1.6348	3.7676	548.85	0.075954	55.713	0.088117	0.0028389	50.527	0.019791	499.22	550.16	2.1573	1.6552	3.2033	231.68	1.8086	9.5293	0.024670
276.35	25.765	392.40	0.0025484	253.16	259.73	1.1061	1.6351	3.7700	548.40	0.076170	55.675	0.088081	0.0028332	50.597	0.019764	499.22	550.14	2.1571	1.6557	3.2068	231.63	1.8081	9.5331	0.024688
276.39	25.793	392.28	0.0025492	253.32	259.90	1.1067	1.6353	3.7725	547.95	0.076386	55.637	0.088044	0.0028275	50.666	0.019737	499.22	550.13	2.1568	1.6562	3.2103	231.59	1.8076	9.5369	0.024706
276.44	25.822	392.16	0.0025500	253.48	260.06	1.1073	1.6355	3.7750	547.49	0.076603	55.599	0.088007	0.0028218	50.735	0.019710	499.22	550.11	2.1565	1.6566	3.2139	231.55	1.8072	9.5406	0.024724
276.49	25.850	392.04	0.0025507	253.64	260.23	1.1079	1.6358	3.7774	547.04	0.076820	55.561	0.087970	0.0028161	50.805	0.019683	499.21	550.10	2.1563	1.6571	3.2174	231.50	1.8067	9.5444	0.024742
276.53	25.879	391.92	0.0025515	253.80	260.40	1.1085	1.6360	3.7799	546.59	0.077038	55.523	0.087934	0.0028104	50.874	0.019656	499.21	550.08	2.1560	1.6576	3.2210	231.46	1.8063	9.5482	0.024760
276.58	25.908	391.80	0.0025523	253.96	260.57	1.1090	1.6362	3.7824	546.13	0.077256	55.485	0.087897	0.0028047	50.944	0.019629	499.21	550.06	2.1558	1.6581	3.2245	231.42	1.8058	9.5520	0.024778
276.63	25.936	391.68	0.0025531	254.11	260.74	1.1096	1.6365	3.7849	545.68	0.077475	55.447	0.087860	0.0027990	51.014	0.019603	499.21	550.05	2.1555	1.6586	3.2281	231.37	1.8054	9.5559	0.024797
276.67	25.965	391.56	0.0025539	254.27	260.90	1.1102	1.6367	3.7874	545.22	0.077695	55.410	0.087823	0.0027933	51.084	0.019576	499.20	550.03	2.1552	1.6591	3.2317	231.33	1.8049	9.5597	0.024815
276.72	25.994	391.44	0.0025546	254.43	261.07	1.1108	1.6369	3.7899	544.77	0.077915	55.372	0.087786	0.0027877	51.154	0.019549	499.20	550.02	2.1550	1.6596	3.2353	231.29	1.8045	9.5635	0.024833
276.77	26.022	391.32	0.0025554	254.59	261.24	1.1114	1.6372	3.7924	544.31	0.078136	55.334	0.087750	0.0027820	51.224	0.019522	499.20	550.00	2.1547	1.6600	3.2389	231.24	1.8040	9.5673	0.024852
276.81	26.051	391.20	0.0025562	254.75	261.41	1.1120	1.6374	3.7950	543.86	0.078357	55.296	0.087713	0.0027763	51.294	0.019495	499.20	549.98	2.1544	1.6605	3.2426	231.20	1.8036	9.5712	0.024870
276.86	26.080	391.08	0.0025570	254.91	261.58	1.1125	1.6377	3.7975	543.40	0.078579	55.258	0.087676	0.0027706	51.365	0.019469	499.19	549.97	2.1542	1.6610	3.2462	231.16	1.8031	9.5750	0.024888
276.91	26.108	390.96	0.0025578	255.07	261.75	1.1131	1.6379	3.8000	542.95	0.078801	55.220	0.087639	0.0027649	51.435	0.019442	499.19	549.95	2.1539	1.6615	3.2499	231.11	1.8026	9.5789	0.024907
276.95	26.137	390.84	0.0025586	255.23	261.92	1.1137	1.6381	3.8026	542.49	0.079024	55.182	0.087603	0.0027593	51.506	0.019415	499.19	549.93	2.1537	1.6620	3.2535	231.07	1.8022	9.5827	0.024925
277.00	26.166	390.72	0.0025594	255.39	262.08	1.1143	1.6384	3.8051	542.04	0.079247	55.144	0.087566	0.0027536	51.577	0.019389	499.18	549.92	2.1534	1.6625	3.2572	231.03	1.8017	9.5866	0.024944
277.05	26.195	390.60	0.0025602	255.55	262.25	1.1149	1.6386	3.8077	541.58	0.079471	55.107	0.087529	0.0027479	51.647	0.019362	499.18	549.90	2.1531	1.6630	3.2609	230.98	1.8013	9.5905	0.024963
277.09	26.224	390.48	0.0025609	255.71	262.42	1.1155	1.6388	3.8103	541.12	0.079696	55.069	0.087492	0.0027423	51.718	0.019336	499.18	549.88	2.1529	1.6635	3.2646	230.94	1.8008	9.5944	0.024981
277.14	26.253	390.36	0.0025617	255.87	262.59	1.1160	1.6391	3.8129	540.67	0.079921	55.031	0.087456	0.0027366	51.789	0.019309	499.17	549.86	2.1526	1.6640	3.2683	230.89	1.8004	9.5982	0.025000
277.19	26.281	390.24	0.0025625	256.03	262.76	1.1166	1.6393	3.8154	540.21	0.080147	54.993	0.087419	0.0027309	51.861	0.019282	499.17	549.85	2.1523	1.6645	3.2720	230.85	1.7999	9.6021	0.025019
277.23	26.310	390.12	0.0025633	256.19	262.93	1.1172	1.6396	3.8180	539.75	0.080374	54.955	0.087382	0.0027253	51.932	0.019256	499.17	549.83	2.1521	1.6650	3.2758	230.81	1.7994	9.6060	0.025037
277.28	26.339	390.00	0.0025641	256.35	263.10	1.1178	1.6398	3.8206	539.30	0.080601	54.917	0.087345	0.0027196	52.003	0.019230	499.16	549.81	2.1518	1.6655	3.2795	230.76	1.7990	9.6099	0.025056
277.33	26.368	389.87	0.0025649	256.51	263.27	1.1184	1.6400	3.8232	538.84	0.080828	54.879	0.087309	0.0027139	52.075	0.019203	499.16	549.79	2.1515	1.6660	3.2833	230.72	1.7985	9.6138	0.025075
277.37	26.397	389.75	0.0025657	256.67	263.44	1.1190	1.6403	3.8259	538.38	0.081057	54.842	0.087272	0.0027083	52.146	0.019177	499.15	549.78	2.1513	1.6665	3.2870	230.67	1.7981	9.6178	0.025094
277.42	26.426	389.63	0.0025665	256.83	263.61	1.1195	1.6405	3.8285	537.93	0.081285	54.804	0.087235	0.0027026	52.218	0.019150	499.15	549.76	2.1510	1.6670	3.2908	230.63	1.7976	9.6217	0.025113
277.47	26.455	389.51	0.0025673	256.99	263.78	1.1201	1.6408	3.8311	537.47	0.081515	54.766	0.087198	0.0026970	52.290	0.019124	499.15	549.74	2.1507	1.6675	3.2946	230.58	1.7972	9.6256	0.025132
277.51	26.484	389.39	0.0025681	257.15	263.95	1.1207	1.6410	3.8338	537.01	0.081745	54.728	0.087162	0.0026913	52.362	0.019098	499.14	549.72	2.1505	1.6680	3.2985	230.54	1.7967	9.6296	0.025151
277.56	26.513	389.27	0.0025689	257.31	264.12	1.1213	1.6412	3.8364	536.56	0.081975	54.690	0.087125	0.0026857	52.434	0.019072	499.14	549.70	2.1502	1.6685	3.3023	230.50	1.7963	9.6335	0.025170
277.61	26.543	389.14	0.0025697	257.47	264.29	1.1219	1.6415	3.8391	536.10	0.082207	54.652	0.087088	0.0026800	52.506	0.019045	499.13	549.68	2.1499	1.6690	3.3061	230.45	1.7958	9.6375	0.025189
277.65	26.572	389.02	0.0025705	257.63	264.46	1.1225	1.6417	3.8417	535.64	0.082439	54.614	0.087051	0.0026744	52.579	0.019019	499.13	549.66	2.1497	1.6695	3.3100	230.41	1.7953	9.6414	0.025208
277.70	26.601	388.90	0.0025714	257.79	264.63	1.1231	1.6420	3.8444	535.18	0.082671	54.577	0.087015	0.0026688	52.651	0.018993	499.12	549.65	2.1494	1.6700	3.3138	230.36	1.7949	9.6454	0.025227
277.75	26.630	388.78	0.0025722	257.95	264.80	1.1236	1.6422	3.8471	534.72	0.082904	54.539	0.086978	0.0026631	52.724	0.018967	499.12	549.63	2.1491	1.6705	3.3177	230.32	1.7944	9.6494	0.025246
277.79	26.659	388.66	0.0025730	258.11	264.97	1.1242	1.6424	3.8498	534.26	0.083138	54.501	0.086941	0.0026575	52.796	0.018941	499.11	549.61	2.1489	1.6710	3.3216	230.27	1.7940	9.6533	0.025265
277.84	26.688	388.53	0.0025738	258.27	265.14	1.1248	1.6427	3.8525	533.81	0.083372	54.463	0.086904	0.0026519	52.869	0.018915	499.11	549.59	2.1486	1.6715	3.3255	230.23	1.7935	9.6573	0.025284
277.89	26.718	388.41	0.0025746	258.43	265.31	1.1254	1.6429	3.8552	533.35	0.083607	54.425	0.086868	0.0026462	52.942	0.018889	499.10	549.57	2.1483	1.6720	3.3294	230.18	1.7930	9.6613	0.025304
277.93	26.747	388.29	0.0025754	258.59	265.48	1.1260	1.6432	3.8579	532.89	0.083843	54.387	0.086831	0.0026406	53.015	0.018863	499.10	549.55	2.1481	1.6725	3.3334	230.14	1.7926	9.6653	0.025323
277.98	26.776	388.16	0.0025762	258.75	265.65	1.1266	1.6434	3.8606	532.43	0.084079	54.349	0.086794	0.0026350	53.088	0.018837	499.09	549.53	2.1478	1.6730	3.3373	230.09	1.7921	9.6693	0.025342
278.03	26.806	388.04	0.0025770	258.91	265.82	1.1272	1.6437	3.8634	531.97	0.084316	54.312	0.086757	0.0026293	53.162	0.018811	499.09	549.51	2.1475	1.6735	3.3413	230.05	1.7917	9.6733	0.025362
278.07	26.835	387.92	0.0025779	259.07	265.99	1.1277	1.6439	3.8661	531.51	0.084553	54.274	0.086721	0.0026237	53.235	0.018785	499.08	549.49	2.1473	1.6740	3.3452	230.00	1.7912	9.6773	0.025381
278.12	26.864	387.79	0.0025787	259.23	266.16	1.1283	1.6442	3.8689	531.05	0.084791	54.236	0.086684	0.0026181	53.308	0.018759	499.08	549.47	2.1470	1.6745	3.3492	229.96	1.7908	9.6814	0.025401
278.17	26.894	387.67	0.0025795	259.40	266.33	1.1289	1.6444	3.8716	530.59	0.085030	54.198	0.086647	0.0026125	53.382	0.018733	499.07	549.45	2.1467	1.6750	3.3532	229.91	1.7903	9.6854	0.025420
278.21	26.923	387.55	0.0025803	259.56	266.50	1.1295	1.6446	3.8744	530.13	0.085269	54.160	0.086610	0.0026069	53.456	0.018707	499.07	549.43	2.1465	1.6755	3.3572	229.87	1.7898	9.6894	0.025440
278.26	26.953	387.42	0.0025812	259.72	266.67	1.1301	1.6449	3.8772	529.67	0.085509	54.122	0.086573	0.0026012	53.530	0.018681	499.06	549.41	2.1462	1.6760	3.3613	229.82	1.7894	9.6935	0.025459
278.31	26.982	387.30	0.0025820	259.88	266.85	1.1307	1.6451	3.8799	529.21	0.085750	54.084	0.086537	0.0025956	53.604	0.018655	499.06	549.39	2.1459	1.6766	3.3653	229.78	1.7889	9.6975	0.025479
278.35	27.011	387.18	0.0025828	260.04	267.02	1.1313	1.6454	3.8827	528.75	0.085992	54.047	0.086500	0.0025900	53.678	0.018630	499.05	549.37	2.1456	1.6771	3.3694	229.73	1.7885	9.7016	0.025498
278.40	27.041	387.05	0.0025836	260.20	267.19	1.1319	1.6456	3.8855	528.29	0.086233	54.009	0.086463	0.0025844	53.752	0.018604	499.04	549.35	2.1454	1.6776	3.3734	229.69	1.7880	9.7057	0.025518
278.45	27.071	386.93	0.0025845	260.36	267.36	1.1324	1.6459	3.8884	527.83	0.086476	53.971	0.086426	0.0025788	53.827	0.018578	499.04	549.33	2.1451	1.6781	3.3775	229.64	1.7875	9.7098	0.025538
278.49	27.100	386.80	0.0025853	260.53	267.53	1.1330	1.6461	3.8912	527.37	0.086719	53.933	0.086390	0.0025732	53.901	0.018553	499.03	549.31	2.1448	1.6786	3.3816	229.60	1.7871	9.7138	0.025558
278.54	27.130	386.68	0.0025861	260.69	267.70	1.1336	1.6464	3.8940	526.91	0.086963	53.895	0.086353	0.0025676	53.976	0.018527	499.02	549.29	2.1446	1.6791	3.3857	229.55	1.7866	9.7179	0.025578
278.59	27.159	386.56	0.0025870	260.85	267.87	1.1342	1.6466	3.8968	526.45	0.087208	53.857	0.086316	0.0025620	54.050	0.018501	499.02	549.27	2.1443	1.6796	3.3899	229.51	1.7861	9.7220	0.025597
278.63	27.189	386.43	0.0025878	261.01	268.05	1.1348	1.6469	3.8997	525.98	0.087453	53.819	0.086279	0.0025564	54.125	0.018476	499.01	549.25	2.1440	1.6802	3.3940	229.46	1.7857	9.7261	0.025617
278.68	27.219	386.31	0.0025886	261.17	268.22	1.1354	1.6471	3.9025	525.52	0.087699	53.782	0.086243	0.0025508	54.200	0.018450	499.01	549.22	2.1437	1.6807	3.3982	229.41	1.7852	9.7302	0.025637
278.73	27.248	386.18	0.0025895	261.33	268.39	1.1360	1.6474	3.9054	525.06	0.087946	53.744	0.086206	0.0025452	54.275	0.018425	499.00	549.20	2.1435	1.6812	3.4023	229.37	1.7848	9.7344	0.025657
278.77	27.278	386.06	0.0025903	261.50	268.56	1.1366	1.6476	3.9083	524.60	0.088193	53.706	0.086169	0.0025396	54.351	0.018399	498.99	549.18	2.1432	1.6817	3.4065	229.32	1.7843	9.7385	0.025677
278.82	27.308	385.93	0.0025911	261.66	268.74	1.1372	1.6479	3.9112	524.14	0.088441	53.668	0.086132	0.0025340	54.426	0.018374	498.99	549.16	2.1429	1.6822	3.4107	229.28	1.7838	9.7426	0.025697
278.87	27.337	385.81	0.0025920	261.82	268.91	1.1378	1.6481	3.9141	523.67	0.088690	53.630	0.086096	0.0025285	54.501	0.018348	498.98	549.14	2.1426	1.6828	3.4149	229.23	1.7834	9.7468	0.025718
278.91	27.367	385.68	0.0025928	261.98	269.08	1.1383	1.6484	3.9170	523.21	0.088939	53.592	0.086059	0.0025229	54.577	0.018323	498.97	549.12	2.1424	1.6833	3.4192	229.18	1.7829	9.7509	0.025738
278.96	27.397	385.56	0.0025937	262.15	269.25	1.1389	1.6486	3.9199	522.75	0.089189	53.554	0.086022	0.0025173	54.653	0.018297	498.96	549.09	2.1421	1.6838	3.4234	229.14	1.7825	9.7551	0.025758
279.01	27.427	385.43	0.0025945	262.31	269.42	1.1395	1.6489	3.9228	522.29	0.089440	53.516	0.085985	0.0025117	54.729	0.018272	498.96	549.07	2.1418	1.6843	3.4277	229.09	1.7820	9.7592	0.025778
279.05	27.457	385.30	0.0025954	262.47	269.60	1.1401	1.6491	3.9257	521.82	0.089691	53.479	0.085948	0.0025061	54.805	0.018247	498.95	549.05	2.1415	1.6848	3.4319	229.05	1.7815	9.7634	0.025799
279.10	27.487	385.18	0.0025962	262.63	269.77	1.1407	1.6494	3.9287	521.36	0.089943	53.441	0.085912	0.0025006	54.881	0.018221	498.94	549.03	2.1413	1.6854	3.4362	229.00	1.7811	9.7676	0.025819
279.15	27.516	385.05	0.0025970	262.80	269.94	1.1413	1.6496	3.9316	520.89	0.090196	53.403	0.085875	0.0024950	54.957	0.018196	498.93	549.00	2.1410	1.6859	3.4405	228.95	1.7806	9.7718	0.025839
279.19	27.546	384.93	0.0025979	262.96	270.12	1.1419	1.6499	3.9346	520.43	0.090450	53.365	0.085838	0.0024894	55.033	0.018171	498.93	548.98	2.1407	1.6864	3.4449	228.91	1.7801	9.7760	0.025860
279.24	27.576	384.80	0.0025988	263.12	270.29	1.1425	1.6501	3.9375	519.97	0.090704	53.327	0.085801	0.0024839	55.110	0.018146	498.92	548.96	2.1404	1.6869	3.4492	228.86	1.7797	9.7802	0.025880
279.29	27.606	384.67	0.0025996	263.29	270.46	1.1431	1.6504	3.9405	519.50	0.090959	53.289	0.085765	0.0024783	55.187	0.018120	498.91	548.94	2.1402	1.6875	3.4535	228.81	1.7792	9.7844	0.025901
279.33	27.636	384.55	0.0026005	263.45	270.64	1.1437	1.6506	3.9435	519.04	0.091214	53.251	0.085728	0.0024727	55.263	0.018095	498.90	548.91	2.1399	1.6880	3.4579	228.77	1.7787	9.7886	0.025921
279.38	27.666	384.42	0.0026013	263.61	270.81	1.1443	1.6509	3.9465	518.57	0.091471	53.214	0.085691	0.0024672	55.340	0.018070	498.90	548.89	2.1396	1.6885	3.4623	228.72	1.7783	9.7928	0.025942
279.43	27.696	384.29	0.0026022	263.77	270.98	1.1448	1.6511	3.9495	518.11	0.091728	53.176	0.085654	0.0024616	55.417	0.018045	498.89	548.87	2.1393	1.6891	3.4667	228.67	1.7778	9.7971	0.025963
279.47	27.726	384.17	0.0026030	263.94	271.16	1.1454	1.6514	3.9525	517.64	0.091986	53.138	0.085618	0.0024561	55.494	0.018020	498.88	548.84	2.1390	1.6896	3.4711	228.63	1.7773	9.8013	0.025983
279.52	27.756	384.04	0.0026039	264.10	271.33	1.1460	1.6517	3.9556	517.18	0.092244	53.100	0.085581	0.0024505	55.572	0.017995	498.87	548.82	2.1388	1.6901	3.4756	228.58	1.7769	9.8055	0.026004
279.57	27.787	383.91	0.0026048	264.26	271.50	1.1466	1.6519	3.9586	516.71	0.092503	53.062	0.085544	0.0024450	55.649	0.017970	498.86	548.79	2.1385	1.6907	3.4800	228.53	1.7764	9.8098	0.026025
279.61	27.817	383.79	0.0026056	264.43	271.68	1.1472	1.6522	3.9616	516.25	0.092763	53.024	0.085507	0.0024394	55.727	0.017945	498.85	548.77	2.1382	1.6912	3.4845	228.49	1.7759	9.8141	0.026046
279.66	27.847	383.66	0.0026065	264.59	271.85	1.1478	1.6524	3.9647	515.78	0.093024	52.986	0.085470	0.0024339	55.804	0.017920	498.85	548.75	2.1379	1.6917	3.4889	228.44	1.7755	9.8183	0.026067
279.71	27.877	383.53	0.0026073	264.76	272.02	1.1484	1.6527	3.9678	515.32	0.093285	52.948	0.085434	0.0024283	55.882	0.017895	498.84	548.72	2.1377	1.6923	3.4934	228.39	1.7750	9.8226	0.026087
279.75	27.907	383.40	0.0026082	264.92	272.20	1.1490	1.6529	3.9709	514.85	0.093547	52.910	0.085397	0.0024228	55.960	0.017870	498.83	548.70	2.1374	1.6928	3.4980	228.35	1.7745	9.8269	0.026108
279.80	27.938	383.28	0.0026091	265.08	272.37	1.1496	1.6532	3.9739	514.38	0.093810	52.873	0.085360	0.0024172	56.038	0.017845	498.82	548.67	2.1371	1.6933	3.5025	228.30	1.7741	9.8312	0.026129
279.85	27.968	383.15	0.0026100	265.25	272.55	1.1502	1.6535	3.9770	513.92	0.094074	52.835	0.085323	0.0024117	56.116	0.017820	498.81	548.65	2.1368	1.6939	3.5070	228.25	1.7736	9.8355	0.026150
279.89	27.998	383.02	0.0026108	265.41	272.72	1.1508	1.6537	3.9802	513.45	0.094338	52.797	0.085287	0.0024062	56.195	0.017795	498.80	548.62	2.1365	1.6944	3.5116	228.21	1.7731	9.8398	0.026172
279.94	28.028	382.89	0.0026117	265.57	272.90	1.1514	1.6540	3.9833	512.98	0.094603	52.759	0.085250	0.0024006	56.273	0.017770	498.79	548.60	2.1363	1.6949	3.5162	228.16	1.7727	9.8441	0.026193
279.99	28.059	382.76	0.0026126	265.74	273.07	1.1520	1.6542	3.9864	512.52	0.094869	52.721	0.085213	0.0023951	56.352	0.017746	498.78	548.57	2.1360	1.6955	3.5208	228.11	1.7722	9.8485	0.026214
280.03	28.089	382.64	0.0026135	265.90	273.24	1.1526	1.6545	3.9895	512.05	0.095136	52.683	0.085176	0.0023896	56.431	0.017721	498.77	548.55	2.1357	1.6960	3.5254	228.06	1.7717	9.8528	0.026235
280.08	28.119	382.51	0.0026143	266.07	273.42	1.1532	1.6547	3.9927	511.58	0.095403	52.645	0.085140	0.0023840	56.509	0.017696	498.76	548.52	2.1354	1.6966	3.5300	228.02	1.7713	9.8571	0.026257
