Temperature (K)	Pressure (bar)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
271.12	22.717	405.13	0.0024683	235.79	241.40	1.0420	1.6103	3.5332	598.39	0.055007	59.938	0.092200	0.0034839	43.470	0.023005	498.99	551.25	2.1848	1.6053	2.8733	236.14	1.8590	9.1443	0.022854
271.17	22.743	405.02	0.0024690	235.94	241.56	1.0425	1.6105	3.5351	597.95	0.055173	59.900	0.092163	0.0034780	43.528	0.022974	498.99	551.24	2.1846	1.6057	2.8758	236.10	1.8585	9.1475	0.022869
271.21	22.769	404.91	0.0024697	236.10	241.72	1.0431	1.6107	3.5369	597.51	0.055339	59.862	0.092126	0.0034721	43.587	0.022943	499.00	551.24	2.1843	1.6062	2.8783	236.06	1.8581	9.1507	0.022884
271.26	22.795	404.80	0.0024703	236.25	241.88	1.0437	1.6109	3.5387	597.07	0.055505	59.823	0.092089	0.0034662	43.645	0.022912	499.01	551.23	2.1841	1.6066	2.8809	236.02	1.8576	9.1539	0.022899
271.31	22.821	404.70	0.0024710	236.40	242.04	1.0442	1.6111	3.5406	596.63	0.055672	59.785	0.092052	0.0034603	43.704	0.022881	499.01	551.23	2.1839	1.6070	2.8834	235.99	1.8571	9.1571	0.022914
271.35	22.847	404.59	0.0024717	236.55	242.20	1.0448	1.6113	3.5424	596.19	0.055839	59.747	0.092015	0.0034544	43.763	0.022850	499.02	551.22	2.1836	1.6074	2.8860	235.95	1.8567	9.1603	0.022929
271.40	22.873	404.48	0.0024723	236.70	242.36	1.0454	1.6115	3.5442	595.75	0.056006	59.708	0.091979	0.0034485	43.822	0.022820	499.02	551.22	2.1834	1.6078	2.8885	235.91	1.8562	9.1635	0.022944
271.45	22.899	404.37	0.0024730	236.86	242.52	1.0459	1.6117	3.5461	595.31	0.056174	59.670	0.091942	0.0034426	43.881	0.022789	499.03	551.21	2.1832	1.6083	2.8911	235.87	1.8558	9.1668	0.022959
271.49	22.925	404.26	0.0024737	237.01	242.68	1.0465	1.6119	3.5480	594.87	0.056342	59.632	0.091905	0.0034367	43.940	0.022758	499.03	551.21	2.1829	1.6087	2.8937	235.83	1.8553	9.1700	0.022974
271.54	22.951	404.15	0.0024743	237.16	242.84	1.0471	1.6122	3.5498	594.43	0.056511	59.594	0.091868	0.0034308	44.000	0.022728	499.04	551.20	2.1827	1.6091	2.8963	235.80	1.8549	9.1732	0.022989
271.59	22.978	404.04	0.0024750	237.31	243.00	1.0476	1.6124	3.5517	593.99	0.056680	59.555	0.091831	0.0034249	44.059	0.022697	499.04	551.20	2.1824	1.6095	2.8988	235.76	1.8544	9.1765	0.023004
271.63	23.004	403.93	0.0024757	237.47	243.16	1.0482	1.6126	3.5536	593.55	0.056849	59.517	0.091795	0.0034190	44.118	0.022666	499.05	551.19	2.1822	1.6100	2.9014	235.72	1.8539	9.1797	0.023019
271.68	23.030	403.82	0.0024763	237.62	243.32	1.0488	1.6128	3.5554	593.11	0.057019	59.479	0.091758	0.0034131	44.178	0.022636	499.05	551.19	2.1820	1.6104	2.9040	235.68	1.8535	9.1830	0.023034
271.73	23.056	403.71	0.0024770	237.77	243.48	1.0493	1.6130	3.5573	592.67	0.057189	59.441	0.091721	0.0034072	44.237	0.022605	499.06	551.18	2.1817	1.6108	2.9067	235.64	1.8530	9.1862	0.023050
271.77	23.083	403.60	0.0024777	237.92	243.64	1.0499	1.6132	3.5592	592.22	0.057360	59.402	0.091684	0.0034013	44.297	0.022575	499.07	551.17	2.1815	1.6112	2.9093	235.61	1.8526	9.1895	0.023065
271.82	23.109	403.49	0.0024784	238.08	243.80	1.0505	1.6134	3.5611	591.78	0.057530	59.364	0.091647	0.0033954	44.357	0.022544	499.07	551.17	2.1812	1.6117	2.9119	235.57	1.8521	9.1927	0.023080
271.87	23.135	403.38	0.0024790	238.23	243.97	1.0510	1.6136	3.5630	591.34	0.057702	59.326	0.091611	0.0033896	44.417	0.022514	499.08	551.16	2.1810	1.6121	2.9145	235.53	1.8517	9.1960	0.023095
271.91	23.161	403.27	0.0024797	238.38	244.13	1.0516	1.6139	3.5649	590.90	0.057873	59.288	0.091574	0.0033837	44.476	0.022484	499.08	551.16	2.1808	1.6125	2.9172	235.49	1.8512	9.1993	0.023111
271.96	23.188	403.16	0.0024804	238.54	244.29	1.0522	1.6141	3.5668	590.46	0.058045	59.249	0.091537	0.0033778	44.536	0.022453	499.08	551.15	2.1805	1.6129	2.9198	235.45	1.8507	9.2025	0.023126
272.01	23.214	403.05	0.0024811	238.69	244.45	1.0528	1.6143	3.5687	590.02	0.058218	59.211	0.091500	0.0033719	44.597	0.022423	499.09	551.14	2.1803	1.6134	2.9225	235.42	1.8503	9.2058	0.023141
272.05	23.241	402.94	0.0024818	238.84	244.61	1.0533	1.6145	3.5706	589.57	0.058391	59.173	0.091463	0.0033660	44.657	0.022393	499.09	551.14	2.1800	1.6138	2.9251	235.38	1.8498	9.2091	0.023157
272.10	23.267	402.83	0.0024824	238.99	244.77	1.0539	1.6147	3.5725	589.13	0.058564	59.135	0.091427	0.0033601	44.717	0.022363	499.10	551.13	2.1798	1.6142	2.9278	235.34	1.8494	9.2124	0.023172
272.15	23.293	402.72	0.0024831	239.15	244.93	1.0545	1.6149	3.5745	588.69	0.058737	59.097	0.091390	0.0033543	44.777	0.022333	499.10	551.12	2.1796	1.6147	2.9305	235.30	1.8489	9.2157	0.023187
272.19	23.320	402.61	0.0024838	239.30	245.09	1.0550	1.6151	3.5764	588.25	0.058911	59.058	0.091353	0.0033484	44.838	0.022303	499.11	551.12	2.1793	1.6151	2.9332	235.26	1.8485	9.2190	0.023203
272.24	23.346	402.50	0.0024845	239.45	245.25	1.0556	1.6154	3.5783	587.80	0.059086	59.020	0.091316	0.0033425	44.898	0.022273	499.11	551.11	2.1791	1.6155	2.9359	235.22	1.8480	9.2223	0.023218
272.29	23.373	402.39	0.0024852	239.61	245.42	1.0562	1.6156	3.5802	587.36	0.059261	58.982	0.091279	0.0033367	44.959	0.022242	499.12	551.10	2.1788	1.6160	2.9386	235.18	1.8476	9.2256	0.023234
272.33	23.399	402.28	0.0024859	239.76	245.58	1.0567	1.6158	3.5822	586.92	0.059436	58.944	0.091243	0.0033308	45.020	0.022212	499.12	551.10	2.1786	1.6164	2.9413	235.15	1.8471	9.2289	0.023249
272.38	23.426	402.17	0.0024865	239.91	245.74	1.0573	1.6160	3.5841	586.48	0.059611	58.906	0.091206	0.0033249	45.081	0.022183	499.13	551.09	2.1784	1.6168	2.9440	235.11	1.8466	9.2322	0.023265
272.43	23.453	402.05	0.0024872	240.07	245.90	1.0579	1.6162	3.5861	586.03	0.059787	58.867	0.091169	0.0033191	45.141	0.022153	499.13	551.08	2.1781	1.6173	2.9467	235.07	1.8462	9.2355	0.023280
272.47	23.479	401.94	0.0024879	240.22	246.06	1.0584	1.6164	3.5880	585.59	0.059964	58.829	0.091132	0.0033132	45.202	0.022123	499.13	551.08	2.1779	1.6177	2.9494	235.03	1.8457	9.2389	0.023296
272.52	23.506	401.83	0.0024886	240.37	246.22	1.0590	1.6166	3.5900	585.15	0.060141	58.791	0.091096	0.0033073	45.263	0.022093	499.14	551.07	2.1776	1.6181	2.9522	234.99	1.8453	9.2422	0.023311
272.57	23.532	401.72	0.0024893	240.53	246.39	1.0596	1.6169	3.5920	584.70	0.060318	58.753	0.091059	0.0033015	45.325	0.022063	499.14	551.06	2.1774	1.6186	2.9549	234.95	1.8448	9.2455	0.023327
272.61	23.559	401.61	0.0024900	240.68	246.55	1.0601	1.6171	3.5940	584.26	0.060495	58.715	0.091022	0.0032956	45.386	0.022033	499.15	551.05	2.1771	1.6190	2.9577	234.91	1.8444	9.2489	0.023343
272.66	23.586	401.50	0.0024907	240.83	246.71	1.0607	1.6173	3.5959	583.82	0.060674	58.677	0.090985	0.0032898	45.447	0.022004	499.15	551.05	2.1769	1.6194	2.9604	234.87	1.8439	9.2522	0.023358
272.71	23.612	401.39	0.0024914	240.99	246.87	1.0613	1.6175	3.5979	583.37	0.060852	58.639	0.090948	0.0032839	45.509	0.021974	499.15	551.04	2.1767	1.6199	2.9632	234.83	1.8435	9.2556	0.023374
272.75	23.639	401.27	0.0024921	241.14	247.03	1.0619	1.6177	3.5999	582.93	0.061031	58.600	0.090912	0.0032781	45.570	0.021944	499.16	551.03	2.1764	1.6203	2.9660	234.80	1.8430	9.2589	0.023390
